Date,Close
01.07.2020 16:00:00,"143,94",
02.07.2020 16:00:00,"144,51",
06.07.2020 16:00:00,"152,85",
07.07.2020 16:00:00,"150,01",
08.07.2020 16:00:00,"154,06",
09.07.2020 16:00:00,"159,13",
10.07.2020 16:00:00,"160"
13.07.2020 16:00:00,"155,2",
14.07.2020 16:00:00,"154,2",
15.07.2020 16:00:00,"150,44",
16.07.2020 16:00:00,"150"
17.07.2020 16:00:00,"148,1",
20.07.2020 16:00:00,"159,84",
21.07.2020 16:00:00,"156,91",
22.07.2020 16:00:00,"155"
23.07.2020 16:00:00,"149,33",
24.07.2020 16:00:00,"150,45",
27.07.2020 16:00:00,"152,76",
28.07.2020 16:00:00,"150,02",
29.07.2020 16:00:00,"151,68",
30.07.2020 16:00:00,"152,59",
31.07.2020 16:00:00,"158,23",
03.08.2020 16:00:00,"155,59",
04.08.2020 16:00:00,"156,94",
05.08.2020 16:00:00,"160,25",
06.08.2020 16:00:00,"161,25",
07.08.2020 16:00:00,"158,37",
10.08.2020 16:00:00,"157,41",
11.08.2020 16:00:00,"154,03",
12.08.2020 16:00:00,"158,11",
13.08.2020 16:00:00,"158,05",
14.08.2020 16:00:00,"157,4",
17.08.2020 16:00:00,"159,12",
18.08.2020 16:00:00,"165,62",
19.08.2020 16:00:00,"163,02",
20.08.2020 16:00:00,"164,87",
21.08.2020 16:00:00,"164,24",
24.08.2020 16:00:00,"165,37",
25.08.2020 16:00:00,"167,32",
26.08.2020 16:00:00,"172,09",
27.08.2020 16:00:00,"170"
28.08.2020 16:00:00,"170,09",
31.08.2020 16:00:00,"172,55",
01.09.2020 16:00:00,"174,96",
02.09.2020 16:00:00,"176,57",
03.09.2020 16:00:00,"168,4",
04.09.2020 16:00:00,"164,73",
08.09.2020 16:00:00,"157,49",
09.09.2020 16:00:00,"163,43",
10.09.2020 16:00:00,"158,76",
11.09.2020 16:00:00,"155,81",
14.09.2020 16:00:00,"155,15",
15.09.2020 16:00:00,"157,81",
16.09.2020 16:00:00,"153,91",
17.09.2020 16:00:00,"150,44",
18.09.2020 16:00:00,"147,75",
21.09.2020 16:00:00,"148,02",
22.09.2020 16:00:00,"156,45",
23.09.2020 16:00:00,"149,99",
24.09.2020 16:00:00,"150,99",
25.09.2020 16:00:00,"154,76",
28.09.2020 16:00:00,"158,7",
29.09.2020 16:00:00,"157,24",
30.09.2020 16:00:00,"157,44",
01.10.2020 16:00:00,"161,06",
02.10.2020 16:00:00,"156,25",
05.10.2020 16:00:00,"159,96",
06.10.2020 16:00:00,155
07.10.2020 16:00:00,"159,78",
08.10.2020 16:00:00,"159,53",
09.10.2020 16:00:00,"164,33",
12.10.2020 16:00:00,"172,15",
13.10.2020 16:00:00,"172,18",
14.10.2020 16:00:00,"168,19",
15.10.2020 16:00:00,"166,93",
16.10.2020 16:00:00,"163,64",
19.10.2020 16:00:00,"160,36",
20.10.2020 16:00:00,"160,85",
21.10.2020 16:00:00,"159,25",
22.10.2020 16:00:00,"158,82",
23.10.2020 16:00:00,"160,22",
26.10.2020 16:00:00,"160,35",
27.10.2020 16:00:00,"164,32",
28.10.2020 16:00:00,"158,14",
29.10.2020 16:00:00,"160,55",
30.10.2020 16:00:00,"151,81",
02.11.2020 16:00:00,"150,22",
03.11.2020 16:00:00,"152,42",
04.11.2020 16:00:00,"162,06",
05.11.2020 16:00:00,"166,1",
06.11.2020 16:00:00,"165,57",
09.11.2020 16:00:00,"157,19",
10.11.2020 16:00:00,"151,75",
11.11.2020 16:00:00,"156,87",
12.11.2020 16:00:00,"155,51",
13.11.2020 16:00:00,"156,44",
