Date,Close
01.07.2020 16:00:00,"91,03",
02.07.2020 16:00:00,"91,03",
06.07.2020 16:00:00,"93,46",
07.07.2020 16:00:00,"93,17",
08.07.2020 16:00:00,"95,34",
09.07.2020 16:00:00,"95,68",
10.07.2020 16:00:00,"95,92",
13.07.2020 16:00:00,"95,48",
14.07.2020 16:00:00,"97,06",
15.07.2020 16:00:00,"97,73",
16.07.2020 16:00:00,"96,52",
17.07.2020 16:00:00,"96,33",
20.07.2020 16:00:00,"98,36",
21.07.2020 16:00:00,97
22.07.2020 16:00:00,"97,27",
23.07.2020 16:00:00,"92,85",
24.07.2020 16:00:00,"92,62",
27.07.2020 16:00:00,"94,81",
28.07.2020 16:00:00,"93,25",
29.07.2020 16:00:00,"95,04",
30.07.2020 16:00:00,"96,19",
31.07.2020 16:00:00,"106,26",
03.08.2020 16:00:00,"108,94",
04.08.2020 16:00:00,"109,67",
05.08.2020 16:00:00,"110,06",
06.08.2020 16:00:00,"113,9",
07.08.2020 16:00:00,"111,11",
10.08.2020 16:00:00,"112,73",
11.08.2020 16:00:00,"109,38",
12.08.2020 16:00:00,"113,01",
13.08.2020 16:00:00,"115,01",
14.08.2020 16:00:00,"114,91",
17.08.2020 16:00:00,"114,61",
18.08.2020 16:00:00,"115,56",
19.08.2020 16:00:00,"115,71",
20.08.2020 16:00:00,"118,28",
21.08.2020 16:00:00,"124,37",
24.08.2020 16:00:00,"125,86",
25.08.2020 16:00:00,"124,83",
26.08.2020 16:00:00,"126,52",
27.08.2020 16:00:00,"125,01",
28.08.2020 16:00:00,"124,81",
31.08.2020 16:00:00,"129,04",
01.09.2020 16:00:00,"134,18",
02.09.2020 16:00:00,"131,4",
03.09.2020 16:00:00,"120,88",
04.09.2020 16:00:00,"120,96",
08.09.2020 16:00:00,"112,82",
09.09.2020 16:00:00,"117,32",
10.09.2020 16:00:00,"113,49",
11.09.2020 16:00:00,112
14.09.2020 16:00:00,"115,36",
15.09.2020 16:00:00,"115,54",
16.09.2020 16:00:00,"112,13",
17.09.2020 16:00:00,"110,34",
18.09.2020 16:00:00,"106,84",
21.09.2020 16:00:00,"110,08",
22.09.2020 16:00:00,"111,81",
23.09.2020 16:00:00,"107,12",
24.09.2020 16:00:00,"108,22",
25.09.2020 16:00:00,"112,28",
28.09.2020 16:00:00,"114,96",
29.09.2020 16:00:00,"114,09",
30.09.2020 16:00:00,"115,81",
01.10.2020 16:00:00,"116,79",
02.10.2020 16:00:00,"113,02",
05.10.2020 16:00:00,"116,5",
