Date,Close
01.07.2020 16:00:00,"180,32",
02.07.2020 16:00:00,"180,81",
06.07.2020 16:00:00,"187,91",
07.07.2020 16:00:00,"178,88",
08.07.2020 16:00:00,"180,08",
09.07.2020 16:00:00,"173,28",
10.07.2020 16:00:00,"178,44",
13.07.2020 16:00:00,"175,65",
14.07.2020 16:00:00,"179,96",
15.07.2020 16:00:00,"187,94",
16.07.2020 16:00:00,"178,7",
17.07.2020 16:00:00,"175,66",
20.07.2020 16:00:00,"174,42",
21.07.2020 16:00:00,"178,63",
22.07.2020 16:00:00,"179,79",
23.07.2020 16:00:00,"176,45",
24.07.2020 16:00:00,"173,76",
27.07.2020 16:00:00,"170,21",
28.07.2020 16:00:00,"170,84",
29.07.2020 16:00:00,"166,01",
30.07.2020 16:00:00,"161,95",
31.07.2020 16:00:00,158
03.08.2020 16:00:00,"162,27",
04.08.2020 16:00:00,"165,07",
05.08.2020 16:00:00,"174,28",
06.08.2020 16:00:00,"172,2",
07.08.2020 16:00:00,"170,02",
10.08.2020 16:00:00,"179,41",
11.08.2020 16:00:00,"180,13",
12.08.2020 16:00:00,"175,44",
13.08.2020 16:00:00,"174,73",
14.08.2020 16:00:00,"178,08",
17.08.2020 16:00:00,"172,01",
18.08.2020 16:00:00,"170,23",
19.08.2020 16:00:00,"169,27",
20.08.2020 16:00:00,"169,58",
21.08.2020 16:00:00,"167,5",
24.08.2020 16:00:00,"178,27",
25.08.2020 16:00:00,"174,73",
26.08.2020 16:00:00,"171,9",
27.08.2020 16:00:00,"174,2",
28.08.2020 16:00:00,"175,8",
31.08.2020 16:00:00,"171,82",
01.09.2020 16:00:00,"172,1",
02.09.2020 16:00:00,"174,78",
03.09.2020 16:00:00,"168,77",
04.09.2020 16:00:00,"171,05",
08.09.2020 16:00:00,"161,08",
09.09.2020 16:00:00,"160,78",
10.09.2020 16:00:00,"157,69",
11.09.2020 16:00:00,"160,23",
14.09.2020 16:00:00,"165,35",
15.09.2020 16:00:00,"163,49",
16.09.2020 16:00:00,"167,46",
17.09.2020 16:00:00,"167,53",
18.09.2020 16:00:00,"161,14",
21.09.2020 16:00:00,"156,35",
22.09.2020 16:00:00,"156,8",
23.09.2020 16:00:00,"151,18",
24.09.2020 16:00:00,"146,05",
25.09.2020 16:00:00,"156,03",
28.09.2020 16:00:00,"166,08",
29.09.2020 16:00:00,"163,6",
30.09.2020 16:00:00,"165,26",
01.10.2020 16:00:00,"167,86",
02.10.2020 16:00:00,"168,08",
05.10.2020 16:00:00,"171,2",
06.10.2020 16:00:00,"159,54",
07.10.2020 16:00:00,"164,61",
08.10.2020 16:00:00,168
09.10.2020 16:00:00,"167,33",
12.10.2020 16:00:00,"167,35",
13.10.2020 16:00:00,"162,14",
14.10.2020 16:00:00,"163,24",
15.10.2020 16:00:00,"164,24",
16.10.2020 16:00:00,"167,35",
19.10.2020 16:00:00,"167,11",
20.10.2020 16:00:00,"167,24",
21.10.2020 16:00:00,"163,86",
22.10.2020 16:00:00,"169,07",
23.10.2020 16:00:00,"167,36",
26.10.2020 16:00:00,"160,83",
27.10.2020 16:00:00,"155,24",
28.10.2020 16:00:00,"148,14",
29.10.2020 16:00:00,"148,29",
30.10.2020 16:00:00,"144,39",
02.11.2020 16:00:00,"148,6",
03.11.2020 16:00:00,"153,65",
04.11.2020 16:00:00,"151,63",
05.11.2020 16:00:00,"157,09",
06.11.2020 16:00:00,"157,74",
09.11.2020 16:00:00,"179,36",
10.11.2020 16:00:00,"188,69",
11.11.2020 16:00:00,"182,15",
12.11.2020 16:00:00,"176,72",
13.11.2020 16:00:00,"187,11",
16.11.2020 16:00:00,"202,4",
17.11.2020 16:00:00,"210,05",
18.11.2020 16:00:00,"203,3",
19.11.2020 16:00:00,"205,67",
20.11.2020 16:00:00,"199,62",
23.11.2020 16:00:00,"211,53",
24.11.2020 16:00:00,"218,49",
25.11.2020 16:00:00,"217,61",
27.11.2020 13:00:00,"216,5",
30.11.2020 16:00:00,"210,71",
01.12.2020 16:00:00,"213,01",
02.12.2020 16:00:00,"223,85",
03.12.2020 16:00:00,"237,2",
04.12.2020 16:00:00,"232,71",
07.12.2020 16:00:00,"238,17",
08.12.2020 16:00:00,"236,57",
09.12.2020 16:00:00,"232,06",
10.12.2020 16:00:00,"234,43",
11.12.2020 16:00:00,"230,33",
14.12.2020 16:00:00,"228,62",
15.12.2020 16:00:00,"229,5",
16.12.2020 16:00:00,"225,87",
17.12.2020 16:00:00,"221,24",
18.12.2020 16:00:00,"219,75",
21.12.2020 16:00:00,"219,31",
22.12.2020 16:00:00,"218,78",
23.12.2020 16:00:00,"219,69",
24.12.2020 13:00:00,"217,15",
28.12.2020 16:00:00,"216,09",
29.12.2020 16:00:00,"216,25",
30.12.2020 16:00:00,"216,67",
31.12.2020 16:00:00,"214,06",
04.01.2021 16:00:00,"202,72",
05.01.2021 16:00:00,"211,63",
06.01.2021 16:00:00,"211,03",
07.01.2021 16:00:00,"212,71",
08.01.2021 16:00:00,"209,9",
11.01.2021 16:00:00,"206,79",
12.01.2021 16:00:00,"208,41",
13.01.2021 16:00:00,"207,21",
14.01.2021 16:00:00,"209,91",
15.01.2021 16:00:00,"204,32",
19.01.2021 16:00:00,"210,71",
20.01.2021 16:00:00,"211,45",
21.01.2021 16:00:00,"207,41",
22.01.2021 16:00:00,"205,84",
25.01.2021 16:00:00,"203,36",
26.01.2021 16:00:00,"202,06",
27.01.2021 16:00:00,"194,03",
28.01.2021 16:00:00,"197,23",
29.01.2021 16:00:00,"194,19",
01.02.2021 16:00:00,"195,84",
02.02.2021 16:00:00,"200,94",
03.02.2021 16:00:00,"207,39",
04.02.2021 16:00:00,"210,64",
05.02.2021 16:00:00,"207,93",
08.02.2021 16:00:00,"211,95",
09.02.2021 16:00:00,"215,12",
10.02.2021 16:00:00,"211,92",
11.02.2021 16:00:00,"210,66",
12.02.2021 16:00:00,"210,98",
16.02.2021 16:00:00,"217,18",
17.02.2021 16:00:00,"215,52",
18.02.2021 16:00:00,"208,48",
19.02.2021 16:00:00,"217,47",
22.02.2021 16:00:00,"212,88",
23.02.2021 16:00:00,"212,12",
24.02.2021 16:00:00,"229,34",
25.02.2021 16:00:00,"216,45",
26.02.2021 16:00:00,"212,01",
01.03.2021 16:00:00,"224,39",
02.03.2021 16:00:00,"223,14",
03.03.2021 16:00:00,"228,56",
04.03.2021 16:00:00,"224,71",
05.03.2021 16:00:00,"223,22",
08.03.2021 16:00:00,"224,03",
09.03.2021 16:00:00,"230,61",
10.03.2021 16:00:00,"245,34",
11.03.2021 16:00:00,252
12.03.2021 16:00:00,"269,19",
15.03.2021 16:00:00,"265,63",
16.03.2021 16:00:00,"255,21",
