Date,Close
01.07.2020 16:00:00,"44,82",
02.07.2020 16:00:00,"44,88",
06.07.2020 16:00:00,"45,23",
07.07.2020 16:00:00,"45,21",
08.07.2020 16:00:00,"45,07",
09.07.2020 16:00:00,"43,91",
10.07.2020 16:00:00,"45,15",
13.07.2020 16:00:00,"45,25",
14.07.2020 16:00:00,"45,87",
15.07.2020 16:00:00,"46,4",
16.07.2020 16:00:00,"46,15",
17.07.2020 16:00:00,"46,82",
20.07.2020 16:00:00,"46,12",
21.07.2020 16:00:00,"47,2",
22.07.2020 16:00:00,"48,48",
23.07.2020 16:00:00,"48,28",
24.07.2020 16:00:00,"48,49",
27.07.2020 16:00:00,"48,48",
28.07.2020 16:00:00,"48,18",
29.07.2020 16:00:00,"48,02",
30.07.2020 16:00:00,"47,69",
31.07.2020 16:00:00,"47,24",
03.08.2020 16:00:00,"46,3",
04.08.2020 16:00:00,"46,69",
05.08.2020 16:00:00,"47,22",
06.08.2020 16:00:00,"47,48",
07.08.2020 16:00:00,"47,8",
10.08.2020 16:00:00,"47,72",
11.08.2020 16:00:00,"47,93",
12.08.2020 16:00:00,"48,43",
13.08.2020 16:00:00,"48,38",
14.08.2020 16:00:00,"48,45",
17.08.2020 16:00:00,"48,21",
18.08.2020 16:00:00,"48,42",
19.08.2020 16:00:00,"47,37",
20.08.2020 16:00:00,"47,35",
21.08.2020 16:00:00,"47,28",
24.08.2020 16:00:00,"47,97",
25.08.2020 16:00:00,"47,91",
26.08.2020 16:00:00,"48,16",
27.08.2020 16:00:00,"48,23",
28.08.2020 16:00:00,"49,83",
31.08.2020 16:00:00,"49,53",
01.09.2020 16:00:00,"49,12",
02.09.2020 16:00:00,"51,19",
03.09.2020 16:00:00,"50,48",
04.09.2020 16:00:00,"51,04",
08.09.2020 16:00:00,"49,81",
09.09.2020 16:00:00,"50,19",
10.09.2020 16:00:00,50
11.09.2020 16:00:00,"51,06",
14.09.2020 16:00:00,"50,71",
15.09.2020 16:00:00,"51,05",
16.09.2020 16:00:00,"50,79",
17.09.2020 16:00:00,"50,55",
18.09.2020 16:00:00,"50,45",
21.09.2020 16:00:00,"49,09",
22.09.2020 16:00:00,"49,66",
23.09.2020 16:00:00,"48,21",
24.09.2020 16:00:00,"48,7",
25.09.2020 16:00:00,"48,72",
28.09.2020 16:00:00,"49,28",
29.09.2020 16:00:00,"48,92",
30.09.2020 16:00:00,"49,37",
01.10.2020 16:00:00,"49,18",
02.10.2020 16:00:00,"49,36",
05.10.2020 16:00:00,"49,38",
06.10.2020 16:00:00,"48,94",
07.10.2020 16:00:00,"49,56",
08.10.2020 16:00:00,"50,46",
09.10.2020 16:00:00,"50,81",
12.10.2020 16:00:00,"51,09",
13.10.2020 16:00:00,"50,22",
14.10.2020 16:00:00,"50,12",
15.10.2020 16:00:00,"49,99",
16.10.2020 16:00:00,"50,03",
19.10.2020 16:00:00,"49,62",
20.10.2020 16:00:00,"50,25",
21.10.2020 16:00:00,"49,99",
22.10.2020 16:00:00,"50,68",
23.10.2020 16:00:00,"50,52",
26.10.2020 16:00:00,"49,8",
27.10.2020 16:00:00,"49,9",
28.10.2020 16:00:00,"47,96",
29.10.2020 16:00:00,"48,02",
30.10.2020 16:00:00,"48,06",
02.11.2020 16:00:00,"48,62",
03.11.2020 16:00:00,"49,35",
04.11.2020 16:00:00,"49,17",
05.11.2020 16:00:00,"49,44",
06.11.2020 16:00:00,"49,45",
09.11.2020 16:00:00,"52,57",
10.11.2020 16:00:00,"53,98",
11.11.2020 16:00:00,"53,58",
12.11.2020 16:00:00,"53,01",
13.11.2020 16:00:00,"53,45",
16.11.2020 16:00:00,"53,85",
17.11.2020 16:00:00,"53,68",
18.11.2020 16:00:00,"52,61",
19.11.2020 16:00:00,"53,13",
20.11.2020 16:00:00,"52,67",
23.11.2020 16:00:00,"52,68",
24.11.2020 16:00:00,"53,22",
25.11.2020 16:00:00,"52,93",
27.11.2020 13:00:00,"52,7",
30.11.2020 16:00:00,"51,6",
01.12.2020 16:00:00,"52,04",
02.12.2020 16:00:00,"52,11",
03.12.2020 16:00:00,"52,78",
04.12.2020 16:00:00,"53,85",
07.12.2020 16:00:00,"52,99",
08.12.2020 16:00:00,"53,18",
09.12.2020 16:00:00,"53,33",
10.12.2020 16:00:00,"53,05",
11.12.2020 16:00:00,"53,35",
14.12.2020 16:00:00,"53,27",
15.12.2020 16:00:00,"53,84",
16.12.2020 16:00:00,"53,06",
17.12.2020 16:00:00,"53,27",
18.12.2020 16:00:00,"53,74",
21.12.2020 16:00:00,"52,81",
22.12.2020 16:00:00,"52,76",
23.12.2020 16:00:00,"53,08",
24.12.2020 13:00:00,"53,44",
28.12.2020 16:00:00,"54,16",
29.12.2020 16:00:00,"54,13",
30.12.2020 16:00:00,"54,44",
31.12.2020 16:00:00,"54,84",
04.01.2021 16:00:00,"52,76",
05.01.2021 16:00:00,"52,18",
