Date,Close
01.07.2020 16:00:00,"113,01",
02.07.2020 16:00:00,"112,18",
06.07.2020 16:00:00,"114,43",
07.07.2020 16:00:00,"113,63",
08.07.2020 16:00:00,"116,66",
09.07.2020 16:00:00,"116,81",
10.07.2020 16:00:00,"119,34",
13.07.2020 16:00:00,"116,22",
14.07.2020 16:00:00,"118,66",
15.07.2020 16:00:00,"120,9",
16.07.2020 16:00:00,"119,43",
17.07.2020 16:00:00,"118,65",
20.07.2020 16:00:00,"117,79",
21.07.2020 16:00:00,"118,62",
22.07.2020 16:00:00,"119,03",
23.07.2020 16:00:00,"118,12",
24.07.2020 16:00:00,"117,61",
27.07.2020 16:00:00,"116,31",
28.07.2020 16:00:00,"116,18",
29.07.2020 16:00:00,"115,61",
30.07.2020 16:00:00,"115,66",
31.07.2020 16:00:00,"116,94",
03.08.2020 16:00:00,"116,35",
04.08.2020 16:00:00,"117,29",
05.08.2020 16:00:00,"127,61",
06.08.2020 16:00:00,"130,82",
07.08.2020 16:00:00,"129,93",
10.08.2020 16:00:00,"128,79",
11.08.2020 16:00:00,"130,49",
12.08.2020 16:00:00,"131,79",
13.08.2020 16:00:00,"130,96",
14.08.2020 16:00:00,"130,53",
17.08.2020 16:00:00,"129,37",
18.08.2020 16:00:00,"128,92",
19.08.2020 16:00:00,"127,77",
20.08.2020 16:00:00,"128,12",
21.08.2020 16:00:00,"127,44",
24.08.2020 16:00:00,"130,69",
25.08.2020 16:00:00,"129,79",
26.08.2020 16:00:00,"132,18",
27.08.2020 16:00:00,"133,73",
28.08.2020 16:00:00,"135,54",
31.08.2020 16:00:00,"131,87",
01.09.2020 16:00:00,"133,55",
02.09.2020 16:00:00,"135,39",
03.09.2020 16:00:00,"133,24",
04.09.2020 16:00:00,"131,99",
08.09.2020 16:00:00,"134,2",
09.09.2020 16:00:00,"133,36",
10.09.2020 16:00:00,"133,22",
11.09.2020 16:00:00,"131,75",
14.09.2020 16:00:00,"131,25",
15.09.2020 16:00:00,"131,24",
16.09.2020 16:00:00,"132,09",
17.09.2020 16:00:00,"130,22",
18.09.2020 16:00:00,"128,63",
21.09.2020 16:00:00,"125,41",
22.09.2020 16:00:00,"127,21",
23.09.2020 16:00:00,"123,28",
24.09.2020 16:00:00,"122,49",
25.09.2020 16:00:00,124
28.09.2020 16:00:00,"125,99",
29.09.2020 16:00:00,"125,4",
30.09.2020 16:00:00,"124,08",
01.10.2020 16:00:00,"123,31",
02.10.2020 16:00:00,"122,55",
05.10.2020 16:00:00,"123,37",
06.10.2020 16:00:00,"120,93",
07.10.2020 16:00:00,"122,91",
08.10.2020 16:00:00,"123,09",
09.10.2020 16:00:00,"124,98",
12.10.2020 16:00:00,"124,97",
13.10.2020 16:00:00,"128,96",
14.10.2020 16:00:00,"126,59",
15.10.2020 16:00:00,"127,36",
16.10.2020 16:00:00,"126,81",
19.10.2020 16:00:00,"124,23",
20.10.2020 16:00:00,"124,95",
21.10.2020 16:00:00,"126,63",
22.10.2020 16:00:00,"127,56",
23.10.2020 16:00:00,"128,35",
26.10.2020 16:00:00,"124,06",
27.10.2020 16:00:00,"123,31",
28.10.2020 16:00:00,"118,47",
29.10.2020 16:00:00,"121,54",
30.10.2020 16:00:00,"121,25",
02.11.2020 16:00:00,"120,13",
03.11.2020 16:00:00,"124,02",
04.11.2020 16:00:00,"125,07",
05.11.2020 16:00:00,"126,96",
06.11.2020 16:00:00,"127,46",
09.11.2020 16:00:00,"142,59",
10.11.2020 16:00:00,"142,11",
11.11.2020 16:00:00,"137,82",
12.11.2020 16:00:00,"135,52",
13.11.2020 16:00:00,"138,36",
16.11.2020 16:00:00,"144,67",
17.11.2020 16:00:00,"144,5",
18.11.2020 16:00:00,"143,9",
19.11.2020 16:00:00,"141,72",
20.11.2020 16:00:00,"141,07",
23.11.2020 16:00:00,"145,98",
24.11.2020 16:00:00,"151,49",
25.11.2020 16:00:00,"149,09",
27.11.2020 13:00:00,"147,13",
30.11.2020 16:00:00,"148,01",
01.12.2020 16:00:00,"149,44",
02.12.2020 16:00:00,"153,61",
03.12.2020 16:00:00,"153,24",
04.12.2020 16:00:00,"154,14",
07.12.2020 16:00:00,"153,68",
08.12.2020 16:00:00,"153,72",
09.12.2020 16:00:00,"154,43",
10.12.2020 16:00:00,"154,69",
11.12.2020 16:00:00,"175,72",
14.12.2020 16:00:00,"169,3",
15.12.2020 16:00:00,"173,94",
16.12.2020 16:00:00,"173,12",
17.12.2020 16:00:00,"173,55",
18.12.2020 16:00:00,"172,89",
21.12.2020 16:00:00,"170,69",
22.12.2020 16:00:00,"170,45",
23.12.2020 16:00:00,"173,55",
24.12.2020 13:00:00,"173,73",
28.12.2020 16:00:00,"178,86",
29.12.2020 16:00:00,"177,3",
30.12.2020 16:00:00,"181,17",
31.12.2020 16:00:00,"181,18",
04.01.2021 16:00:00,"177,68",
05.01.2021 16:00:00,"178,44",
06.01.2021 16:00:00,"179,12",
07.01.2021 16:00:00,"178,58",
08.01.2021 16:00:00,"178,69",
11.01.2021 16:00:00,"179,09",
12.01.2021 16:00:00,"175,99",
13.01.2021 16:00:00,"176,12",
14.01.2021 16:00:00,"173,43",
15.01.2021 16:00:00,"171,44",
19.01.2021 16:00:00,"172,26",
20.01.2021 16:00:00,"173,64",
21.01.2021 16:00:00,"171,28",
22.01.2021 16:00:00,"172,78",
25.01.2021 16:00:00,"171,89",
26.01.2021 16:00:00,"169,56",
27.01.2021 16:00:00,"163,03",
28.01.2021 16:00:00,"171,88",
29.01.2021 16:00:00,"168,17",
01.02.2021 16:00:00,"170,97",
02.02.2021 16:00:00,"176,96",
03.02.2021 16:00:00,"176,43",
04.02.2021 16:00:00,"180,23",
05.02.2021 16:00:00,"181,16",
08.02.2021 16:00:00,190
09.02.2021 16:00:00,"188,21",
10.02.2021 16:00:00,"189,63",
11.02.2021 16:00:00,"190,91",
12.02.2021 16:00:00,"187,67",
16.02.2021 16:00:00,"186,35",
17.02.2021 16:00:00,"186,44",
18.02.2021 16:00:00,183
19.02.2021 16:00:00,"183,65",
22.02.2021 16:00:00,"191,76",
23.02.2021 16:00:00,"197,09",
24.02.2021 16:00:00,"197,51",
25.02.2021 16:00:00,"190,98",
26.02.2021 16:00:00,"189,04",
01.03.2021 16:00:00,"194,98",
02.03.2021 16:00:00,"193,94",
03.03.2021 16:00:00,"192,26",
04.03.2021 16:00:00,"188,03",
05.03.2021 16:00:00,"189,99",
08.03.2021 16:00:00,"201,91",
09.03.2021 16:00:00,"194,51",
10.03.2021 16:00:00,"195,06",
11.03.2021 16:00:00,"196,75",
12.03.2021 16:00:00,"197,16",
15.03.2021 16:00:00,"196,76",
16.03.2021 16:00:00,"194,24",
17.03.2021 16:00:00,"195,24",
18.03.2021 16:00:00,"192,28",
