Date,Close
01.07.2020 16:00:00,"52,96",
02.07.2020 16:00:00,"54,36",
06.07.2020 16:00:00,"56,17",
07.07.2020 16:00:00,57
08.07.2020 16:00:00,"58,27",
09.07.2020 16:00:00,"59,22",
10.07.2020 16:00:00,"59,27",
13.07.2020 16:00:00,"58,3",
14.07.2020 16:00:00,"59,08",
15.07.2020 16:00:00,"58,39",
16.07.2020 16:00:00,"58,65",
17.07.2020 16:00:00,"58,13",
20.07.2020 16:00:00,"58,47",
21.07.2020 16:00:00,"56,59",
22.07.2020 16:00:00,"56,34",
23.07.2020 16:00:00,"55,15",
24.07.2020 16:00:00,"55,12",
27.07.2020 16:00:00,"57,23",
28.07.2020 16:00:00,"56,35",
29.07.2020 16:00:00,"54,53",
30.07.2020 16:00:00,"54,72",
31.07.2020 16:00:00,"55,28",
03.08.2020 16:00:00,"56,57",
04.08.2020 16:00:00,"56,33",
05.08.2020 16:00:00,"56,66",
06.08.2020 16:00:00,"55,08",
07.08.2020 16:00:00,"55,21",
10.08.2020 16:00:00,"54,37",
11.08.2020 16:00:00,"54,29",
12.08.2020 16:00:00,"55,49",
13.08.2020 16:00:00,"56,28",
14.08.2020 16:00:00,"56,29",
17.08.2020 16:00:00,"57,35",
18.08.2020 16:00:00,"57,03",
19.08.2020 16:00:00,"57,71",
20.08.2020 16:00:00,"57,66",
21.08.2020 16:00:00,"58,21",
24.08.2020 16:00:00,"58,78",
25.08.2020 16:00:00,"58,05",
26.08.2020 16:00:00,"58,58",
27.08.2020 16:00:00,"56,31",
28.08.2020 16:00:00,"54,27",
31.08.2020 16:00:00,"54,78",
01.09.2020 16:00:00,"53,65",
02.09.2020 16:00:00,"55,09",
03.09.2020 16:00:00,"53,16",
04.09.2020 16:00:00,"52,54",
08.09.2020 16:00:00,"51,53",
09.09.2020 16:00:00,"53,44",
10.09.2020 16:00:00,"52,32",
11.09.2020 16:00:00,"52,77",
14.09.2020 16:00:00,"52,3",
15.09.2020 16:00:00,"51,78",
16.09.2020 16:00:00,"50,42",
17.09.2020 16:00:00,"48,64",
18.09.2020 16:00:00,"48,61",
21.09.2020 16:00:00,"50,14",
22.09.2020 16:00:00,"50,92",
23.09.2020 16:00:00,"50,68",
24.09.2020 16:00:00,"51,78",
25.09.2020 16:00:00,"52,48",
28.09.2020 16:00:00,"54,04",
29.09.2020 16:00:00,"52,65",
30.09.2020 16:00:00,"52,1",
01.10.2020 16:00:00,"52,38",
02.10.2020 16:00:00,"51,68",
05.10.2020 16:00:00,"51,77",
06.10.2020 16:00:00,"49,66",
07.10.2020 16:00:00,"50,94",
08.10.2020 16:00:00,"52,08",
09.10.2020 16:00:00,"55,45",
12.10.2020 16:00:00,"55,38",
13.10.2020 16:00:00,"57,59",
14.10.2020 16:00:00,"56,46",
15.10.2020 16:00:00,"55,4",
16.10.2020 16:00:00,"55,83",
19.10.2020 16:00:00,"54,32",
20.10.2020 16:00:00,"54,2",
21.10.2020 16:00:00,"52,82",
22.10.2020 16:00:00,"52,29",
23.10.2020 16:00:00,"53,79",
26.10.2020 16:00:00,"53,34",
27.10.2020 16:00:00,"53,55",
28.10.2020 16:00:00,"53,25",
29.10.2020 16:00:00,"49,28",
30.10.2020 16:00:00,"47,63",
02.11.2020 16:00:00,"47,87",
03.11.2020 16:00:00,"48,92",
04.11.2020 16:00:00,"47,82",
05.11.2020 16:00:00,"49,41",
06.11.2020 16:00:00,"50,69",
09.11.2020 16:00:00,"48,32",
10.11.2020 16:00:00,"46,54",
11.11.2020 16:00:00,"47,71",
12.11.2020 16:00:00,"46,59",
13.11.2020 16:00:00,"48,67",
16.11.2020 16:00:00,"48,55",
17.11.2020 16:00:00,"48,33",
18.11.2020 16:00:00,"48,53",
19.11.2020 16:00:00,"49,78",
20.11.2020 16:00:00,"48,99",
23.11.2020 16:00:00,"49,9",
24.11.2020 16:00:00,"50,53",
25.11.2020 16:00:00,"50,45",
27.11.2020 13:00:00,"51,34",
30.11.2020 16:00:00,"50,43",
01.12.2020 16:00:00,"50,52",
02.12.2020 16:00:00,"51,35",
03.12.2020 16:00:00,"50,29",
04.12.2020 16:00:00,"50,97",
07.12.2020 16:00:00,"50,03",
08.12.2020 16:00:00,"49,89",
09.12.2020 16:00:00,"49,5",
10.12.2020 16:00:00,"49,6",
11.12.2020 16:00:00,"49,13",
14.12.2020 16:00:00,"49,57",
15.12.2020 16:00:00,"52,08",
16.12.2020 16:00:00,"53,65",
17.12.2020 16:00:00,"53,05",
18.12.2020 16:00:00,"53,06",
21.12.2020 16:00:00,"51,57",
22.12.2020 16:00:00,"51,62",
23.12.2020 16:00:00,"51,13",
24.12.2020 13:00:00,"50,12",
28.12.2020 16:00:00,"50,24",
29.12.2020 16:00:00,"50,86",
30.12.2020 16:00:00,"50,55",
31.12.2020 16:00:00,"50,25",
04.01.2021 16:00:00,"51,5",
05.01.2021 16:00:00,"52,03",
06.01.2021 16:00:00,"53,22",
07.01.2021 16:00:00,"53,06",
08.01.2021 16:00:00,"54,48",
11.01.2021 16:00:00,"53,93",
12.01.2021 16:00:00,"56,04",
13.01.2021 16:00:00,"55,71",
14.01.2021 16:00:00,"55,27",
15.01.2021 16:00:00,"55,42",
19.01.2021 16:00:00,"56,98",
20.01.2021 16:00:00,"56,17",
21.01.2021 16:00:00,"56,4",
22.01.2021 16:00:00,"56,46",
25.01.2021 16:00:00,"57,25",
26.01.2021 16:00:00,"59,17",
27.01.2021 16:00:00,"58,35",
28.01.2021 16:00:00,"56,44",
29.01.2021 16:00:00,"56,51",
01.02.2021 16:00:00,"58,47",
02.02.2021 16:00:00,"57,33",
03.02.2021 16:00:00,"58,04",
04.02.2021 16:00:00,"61,12",
05.02.2021 16:00:00,"62,23",
08.02.2021 16:00:00,"63,84",
09.02.2021 16:00:00,"62,23",
10.02.2021 16:00:00,"62,32",
11.02.2021 16:00:00,"62,31",
12.02.2021 16:00:00,"63,01",
16.02.2021 16:00:00,"62,87",
17.02.2021 16:00:00,"63,05",
18.02.2021 16:00:00,"62,8",
19.02.2021 16:00:00,"61,98",
22.02.2021 16:00:00,"61,56",
23.02.2021 16:00:00,"61,37",
24.02.2021 16:00:00,"59,38",
25.02.2021 16:00:00,"56,98",
26.02.2021 16:00:00,"56,42",
01.03.2021 16:00:00,"58,48",
02.03.2021 16:00:00,"56,99",
03.03.2021 16:00:00,"54,6",
