Date,Close
01.07.2020 16:00:00,"72,1",
02.07.2020 16:00:00,"73,5",
06.07.2020 16:00:00,"74,98",
07.07.2020 16:00:00,"74,5",
08.07.2020 16:00:00,"75,18",
09.07.2020 16:00:00,"75,93",
10.07.2020 16:00:00,"76,95",
13.07.2020 16:00:00,"75,61",
14.07.2020 16:00:00,"76,04",
15.07.2020 16:00:00,"75,84",
16.07.2020 16:00:00,"75,75",
17.07.2020 16:00:00,"75,84",
20.07.2020 16:00:00,"78,19",
21.07.2020 16:00:00,"77,8",
22.07.2020 16:00:00,"78,24",
23.07.2020 16:00:00,"75,84",
24.07.2020 16:00:00,"75,41",
27.07.2020 16:00:00,"76,47",
28.07.2020 16:00:00,"75,18",
29.07.2020 16:00:00,"76,18",
30.07.2020 16:00:00,"76,92",
31.07.2020 16:00:00,"74,4",
03.08.2020 16:00:00,"74,14",
04.08.2020 16:00:00,"73,67",
05.08.2020 16:00:00,"73,95",
06.08.2020 16:00:00,"75,25",
07.08.2020 16:00:00,"74,92",
10.08.2020 16:00:00,"74,84",
11.08.2020 16:00:00,"74,03",
12.08.2020 16:00:00,"75,36",
13.08.2020 16:00:00,"75,83",
14.08.2020 16:00:00,"75,23",
17.08.2020 16:00:00,"75,81",
18.08.2020 16:00:00,"77,79",
19.08.2020 16:00:00,"77,23",
20.08.2020 16:00:00,"78,81",
21.08.2020 16:00:00,"78,78",
24.08.2020 16:00:00,"79,26",
25.08.2020 16:00:00,"80,29",
26.08.2020 16:00:00,"82,21",
27.08.2020 16:00:00,"81,43",
28.08.2020 16:00:00,"81,97",
31.08.2020 16:00:00,"81,48",
01.09.2020 16:00:00,"82,75",
02.09.2020 16:00:00,"85,87",
03.09.2020 16:00:00,"81,48",
04.09.2020 16:00:00,"79,06",
08.09.2020 16:00:00,"76,18",
09.09.2020 16:00:00,"77,36",
10.09.2020 16:00:00,"76,3",
11.09.2020 16:00:00,"75,79",
14.09.2020 16:00:00,"75,44",
15.09.2020 16:00:00,"76,76",
16.09.2020 16:00:00,"75,6",
17.09.2020 16:00:00,"74,35",
18.09.2020 16:00:00,"72,55",
21.09.2020 16:00:00,"71,51",
22.09.2020 16:00:00,"72,99",
23.09.2020 16:00:00,"70,47",
24.09.2020 16:00:00,"71,14",
