Date,Close
01.07.2020 16:00:00,"144,11",
02.07.2020 16:00:00,"145,02",
06.07.2020 16:00:00,"147,22",
07.07.2020 16:00:00,"144,97",
08.07.2020 16:00:00,"145,59",
09.07.2020 16:00:00,"141,37",
10.07.2020 16:00:00,"142,45",
13.07.2020 16:00:00,"143,49",
14.07.2020 16:00:00,"148,1",
15.07.2020 16:00:00,"151,93",
16.07.2020 16:00:00,"153,08",
17.07.2020 16:00:00,155
20.07.2020 16:00:00,"153,39",
21.07.2020 16:00:00,"154,76",
22.07.2020 16:00:00,"154,61",
23.07.2020 16:00:00,"153,73",
24.07.2020 16:00:00,"149,43",
27.07.2020 16:00:00,"150,76",
28.07.2020 16:00:00,"152,01",
29.07.2020 16:00:00,"154,58",
30.07.2020 16:00:00,"149,16",
31.07.2020 16:00:00,"149,37",
03.08.2020 16:00:00,"148,53",
04.08.2020 16:00:00,"147,33",
05.08.2020 16:00:00,"150,82",
06.08.2020 16:00:00,"152,58",
07.08.2020 16:00:00,"155,11",
10.08.2020 16:00:00,"159,43",
11.08.2020 16:00:00,"160,28",
12.08.2020 16:00:00,"160,07",
13.08.2020 16:00:00,"158,98",
14.08.2020 16:00:00,"160,28",
17.08.2020 16:00:00,"158,76",
18.08.2020 16:00:00,"157,38",
19.08.2020 16:00:00,"156,85",
20.08.2020 16:00:00,"156,17",
21.08.2020 16:00:00,"157,5",
24.08.2020 16:00:00,"159,37",
25.08.2020 16:00:00,"164,53",
26.08.2020 16:00:00,"165,31",
27.08.2020 16:00:00,"165,99",
28.08.2020 16:00:00,"168,38",
31.08.2020 16:00:00,"165,55",
01.09.2020 16:00:00,"167,97",
02.09.2020 16:00:00,"172,47",
03.09.2020 16:00:00,"166,3",
04.09.2020 16:00:00,"166,69",
08.09.2020 16:00:00,"164,27",
09.09.2020 16:00:00,"165,75",
10.09.2020 16:00:00,"164,27",
11.09.2020 16:00:00,"166,45",
14.09.2020 16:00:00,"168,47",
15.09.2020 16:00:00,"168,3",
16.09.2020 16:00:00,170
17.09.2020 16:00:00,"170,34",
18.09.2020 16:00:00,"168,7",
21.09.2020 16:00:00,"161,37",
22.09.2020 16:00:00,"162,68",
23.09.2020 16:00:00,"158,79",
24.09.2020 16:00:00,"158,76",
25.09.2020 16:00:00,"161,49",
28.09.2020 16:00:00,"164,64",
29.09.2020 16:00:00,"164,51",
30.09.2020 16:00:00,"164,61",
01.10.2020 16:00:00,"163,68",
02.10.2020 16:00:00,"165,61",
05.10.2020 16:00:00,"168,72",
06.10.2020 16:00:00,"166,89",
07.10.2020 16:00:00,"171,55",
08.10.2020 16:00:00,"173,78",
09.10.2020 16:00:00,"174,38",
12.10.2020 16:00:00,"175,36",
13.10.2020 16:00:00,"171,55",
14.10.2020 16:00:00,"173,47",
15.10.2020 16:00:00,"172,61",
16.10.2020 16:00:00,"174,86",
19.10.2020 16:00:00,"171,59",
20.10.2020 16:00:00,"173,26",
21.10.2020 16:00:00,"172,87",
22.10.2020 16:00:00,"176,85",
23.10.2020 16:00:00,"175,54",
26.10.2020 16:00:00,"170,17",
27.10.2020 16:00:00,"166,75",
28.10.2020 16:00:00,"161,16",
29.10.2020 16:00:00,"164,6",
30.10.2020 16:00:00,"164,95",
02.11.2020 16:00:00,"173,61",
03.11.2020 16:00:00,"179,21",
04.11.2020 16:00:00,"178,91",
05.11.2020 16:00:00,"183,28",
06.11.2020 16:00:00,"184,27",
09.11.2020 16:00:00,"196,99",
10.11.2020 16:00:00,"201,98",
11.11.2020 16:00:00,"199,29",
12.11.2020 16:00:00,"197,24",
13.11.2020 16:00:00,"201,54",
16.11.2020 16:00:00,"208,59",
17.11.2020 16:00:00,"205,33",
18.11.2020 16:00:00,"201,11",
19.11.2020 16:00:00,"202,72",
20.11.2020 16:00:00,202
23.11.2020 16:00:00,"204,58",
24.11.2020 16:00:00,"207,89",
25.11.2020 16:00:00,"207,68",
27.11.2020 13:00:00,"209,41",
30.11.2020 16:00:00,"203,92",
01.12.2020 16:00:00,"206,2",
02.12.2020 16:00:00,208
03.12.2020 16:00:00,"208,22",
04.12.2020 16:00:00,"212,68",
07.12.2020 16:00:00,"211,1",
08.12.2020 16:00:00,"212,07",
09.12.2020 16:00:00,"212,24",
10.12.2020 16:00:00,"211,97",
11.12.2020 16:00:00,"214,63",
14.12.2020 16:00:00,"211,85",
15.12.2020 16:00:00,"214,17",
16.12.2020 16:00:00,"210,31",
17.12.2020 16:00:00,"211,94",
18.12.2020 16:00:00,"210,04",
21.12.2020 16:00:00,"210,66",
22.12.2020 16:00:00,"207,94",
23.12.2020 16:00:00,"209,99",
24.12.2020 13:00:00,"209,53",
28.12.2020 16:00:00,"209,94",
29.12.2020 16:00:00,"209,13",
30.12.2020 16:00:00,"210,95",
31.12.2020 16:00:00,"212,7",
04.01.2021 16:00:00,"207,95",
05.01.2021 16:00:00,"208,46",
06.01.2021 16:00:00,"212,26",
07.01.2021 16:00:00,"212,61",
08.01.2021 16:00:00,"210,03",
11.01.2021 16:00:00,"208,36",
12.01.2021 16:00:00,"208,88",
13.01.2021 16:00:00,"207,02",
14.01.2021 16:00:00,"208,61",
15.01.2021 16:00:00,"205,97",
19.01.2021 16:00:00,"206,76",
20.01.2021 16:00:00,"208,08",
21.01.2021 16:00:00,"205,23",
22.01.2021 16:00:00,"202,25",
25.01.2021 16:00:00,"201,87",
26.01.2021 16:00:00,"201,06",
27.01.2021 16:00:00,"199,38",
28.01.2021 16:00:00,"202,84",
29.01.2021 16:00:00,"195,37",
01.02.2021 16:00:00,"195,56",
02.02.2021 16:00:00,"200,12",
03.02.2021 16:00:00,"199,14",
04.02.2021 16:00:00,"200,59",
05.02.2021 16:00:00,"202,92",
08.02.2021 16:00:00,"203,86",
09.02.2021 16:00:00,"202,02",
10.02.2021 16:00:00,"202,16",
11.02.2021 16:00:00,"202,18",
12.02.2021 16:00:00,"203,57",
16.02.2021 16:00:00,"203,44",
17.02.2021 16:00:00,"201,9",
18.02.2021 16:00:00,"203,52",
19.02.2021 16:00:00,"203,56",
22.02.2021 16:00:00,"203,62",
23.02.2021 16:00:00,"205,04",
24.02.2021 16:00:00,"211,03",
25.02.2021 16:00:00,"204,79",
26.02.2021 16:00:00,"202,35",
01.03.2021 16:00:00,"206,22",
02.03.2021 16:00:00,"206,58",
03.03.2021 16:00:00,"207,01",
04.03.2021 16:00:00,"202,94",
05.03.2021 16:00:00,"206,58",
08.03.2021 16:00:00,"207,7",
09.03.2021 16:00:00,"207,61",
10.03.2021 16:00:00,"212,91",
11.03.2021 16:00:00,"212,5",
12.03.2021 16:00:00,"214,38",
15.03.2021 16:00:00,"216,2",
16.03.2021 16:00:00,"211,81",
