Date,Close
01.07.2020 16:00:00,"58,81",
02.07.2020 16:00:00,"59,13",
06.07.2020 16:00:00,"59,54",
07.07.2020 16:00:00,"58,31",
08.07.2020 16:00:00,"58,61",
09.07.2020 16:00:00,"58,42",
10.07.2020 16:00:00,"59,53",
13.07.2020 16:00:00,"58,58",
14.07.2020 16:00:00,"58,98",
15.07.2020 16:00:00,"59,03",
16.07.2020 16:00:00,"59,14",
17.07.2020 16:00:00,60
20.07.2020 16:00:00,"61,15",
21.07.2020 16:00:00,"60,7",
22.07.2020 16:00:00,"61,05",
23.07.2020 16:00:00,"60,4",
24.07.2020 16:00:00,"50,59",
27.07.2020 16:00:00,"49,57",
28.07.2020 16:00:00,"49,24",
29.07.2020 16:00:00,"48,07",
30.07.2020 16:00:00,"47,99",
31.07.2020 16:00:00,"47,73",
03.08.2020 16:00:00,"48,3",
04.08.2020 16:00:00,"49,13",
05.08.2020 16:00:00,"48,92",
06.08.2020 16:00:00,"48,57",
07.08.2020 16:00:00,"48,03",
10.08.2020 16:00:00,"49,22",
11.08.2020 16:00:00,"48,19",
12.08.2020 16:00:00,"49,19",
13.08.2020 16:00:00,"48,56",
14.08.2020 16:00:00,"48,89",
17.08.2020 16:00:00,"48,93",
18.08.2020 16:00:00,"48,65",
19.08.2020 16:00:00,"48,33",
20.08.2020 16:00:00,"49,17",
21.08.2020 16:00:00,"49,28",
24.08.2020 16:00:00,"49,14",
25.08.2020 16:00:00,"49,43",
26.08.2020 16:00:00,"49,55",
27.08.2020 16:00:00,"49,4",
28.08.2020 16:00:00,"50,43",
31.08.2020 16:00:00,"50,95",
01.09.2020 16:00:00,"50,79",
02.09.2020 16:00:00,"52,25",
03.09.2020 16:00:00,"50,39",
04.09.2020 16:00:00,"50,08",
08.09.2020 16:00:00,"48,91",
09.09.2020 16:00:00,"49,62",
10.09.2020 16:00:00,"48,96",
11.09.2020 16:00:00,"49,28",
14.09.2020 16:00:00,"49,41",
15.09.2020 16:00:00,50
16.09.2020 16:00:00,"50,37",
17.09.2020 16:00:00,"50,32",
18.09.2020 16:00:00,"49,89",
21.09.2020 16:00:00,"49,72",
22.09.2020 16:00:00,"49,95",
