Date,Close
01.07.2020 16:00:00,"301,17",
02.07.2020 16:00:00,"302,42",
06.07.2020 16:00:00,"305,57",
07.07.2020 16:00:00,"299,91",
08.07.2020 16:00:00,"300,15",
09.07.2020 16:00:00,"294,59",
10.07.2020 16:00:00,"295,68",
13.07.2020 16:00:00,"290,18",
14.07.2020 16:00:00,"298,95",
15.07.2020 16:00:00,"305,72",
16.07.2020 16:00:00,"299,35",
17.07.2020 16:00:00,"304,06",
20.07.2020 16:00:00,"311,96",
21.07.2020 16:00:00,"307,6",
22.07.2020 16:00:00,"313,37",
23.07.2020 16:00:00,"309,9",
24.07.2020 16:00:00,"306,92",
27.07.2020 16:00:00,"308,86",
28.07.2020 16:00:00,"306,33",
29.07.2020 16:00:00,"309,3",
30.07.2020 16:00:00,309
31.07.2020 16:00:00,"308,53",
03.08.2020 16:00:00,"312,59",
04.08.2020 16:00:00,"314,39",
05.08.2020 16:00:00,328
06.08.2020 16:00:00,"330,14",
07.08.2020 16:00:00,"328,02",
10.08.2020 16:00:00,"322,88",
11.08.2020 16:00:00,"328,54",
12.08.2020 16:00:00,"327,63",
13.08.2020 16:00:00,"326,19",
14.08.2020 16:00:00,"326,8",
17.08.2020 16:00:00,"330,23",
18.08.2020 16:00:00,331
19.08.2020 16:00:00,"332,4",
20.08.2020 16:00:00,"337,32",
21.08.2020 16:00:00,"337,1",
24.08.2020 16:00:00,"343,64",
25.08.2020 16:00:00,"347,66",
26.08.2020 16:00:00,"351,02",
27.08.2020 16:00:00,356
28.08.2020 16:00:00,"366,12",
31.08.2020 16:00:00,"358,19",
01.09.2020 16:00:00,"356,9",
02.09.2020 16:00:00,"360,7",
03.09.2020 16:00:00,"343,84",
04.09.2020 16:00:00,"335,01",
08.09.2020 16:00:00,"329,88",
09.09.2020 16:00:00,"339,64",
10.09.2020 16:00:00,"332,88",
11.09.2020 16:00:00,"330,15",
14.09.2020 16:00:00,"338,6",
15.09.2020 16:00:00,"339,14",
16.09.2020 16:00:00,"341,85",
17.09.2020 16:00:00,"339,43",
18.09.2020 16:00:00,"335,26",
21.09.2020 16:00:00,"327,85",
22.09.2020 16:00:00,"335,31",
23.09.2020 16:00:00,"324,53",
24.09.2020 16:00:00,"328,21",
25.09.2020 16:00:00,"331,78",
28.09.2020 16:00:00,"338,39",
29.09.2020 16:00:00,"336,23",
30.09.2020 16:00:00,"338,17",
01.10.2020 16:00:00,"343,37",
02.10.2020 16:00:00,"338,83",
05.10.2020 16:00:00,"343,25",
06.10.2020 16:00:00,"337,43",
07.10.2020 16:00:00,"343,9",
08.10.2020 16:00:00,"345,15",
09.10.2020 16:00:00,"352,39",
12.10.2020 16:00:00,"352,04",
13.10.2020 16:00:00,"345,84",
14.10.2020 16:00:00,"342,7",
15.10.2020 16:00:00,"338,57",
16.10.2020 16:00:00,"339,4",
19.10.2020 16:00:00,"331,67",
20.10.2020 16:00:00,"331,72",
21.10.2020 16:00:00,"333,42",
22.10.2020 16:00:00,"333,6",
23.10.2020 16:00:00,"329,61",
26.10.2020 16:00:00,"318,06",
27.10.2020 16:00:00,"317,11",
28.10.2020 16:00:00,"291,38",
29.10.2020 16:00:00,"293,18",
30.10.2020 16:00:00,"288,64",
02.11.2020 16:00:00,"289,97",
03.11.2020 16:00:00,"295,39",
04.11.2020 16:00:00,"307,2",
05.11.2020 16:00:00,"316,53",
06.11.2020 16:00:00,"313,64",
09.11.2020 16:00:00,"344,56",
10.11.2020 16:00:00,"334,78",
11.11.2020 16:00:00,"332,39",
12.11.2020 16:00:00,"328,29",
13.11.2020 16:00:00,"335,03",
16.11.2020 16:00:00,"335,45",
17.11.2020 16:00:00,"336,5",
18.11.2020 16:00:00,"335,94",
19.11.2020 16:00:00,"333,88",
20.11.2020 16:00:00,323
23.11.2020 16:00:00,"332,04",
24.11.2020 16:00:00,"342,39",
25.11.2020 16:00:00,"341,32",
27.11.2020 13:00:00,"339,07",
30.11.2020 16:00:00,"336,51",
01.12.2020 16:00:00,"338,88",
02.12.2020 16:00:00,"340,22",
03.12.2020 16:00:00,"335,14",
04.12.2020 16:00:00,"344,35",
07.12.2020 16:00:00,"340,96",
08.12.2020 16:00:00,"340,79",
09.12.2020 16:00:00,"336,85",
10.12.2020 16:00:00,"331,52",
11.12.2020 16:00:00,"327,42",
14.12.2020 16:00:00,"331,15",
15.12.2020 16:00:00,"333,65",
16.12.2020 16:00:00,"332,1",
17.12.2020 16:00:00,"336,9",
18.12.2020 16:00:00,"340,33",
21.12.2020 16:00:00,"334,37",
22.12.2020 16:00:00,"332,24",
23.12.2020 16:00:00,"329,23",
24.12.2020 13:00:00,336
28.12.2020 16:00:00,"344,47",
29.12.2020 16:00:00,"346,66",
30.12.2020 16:00:00,"355,55",
31.12.2020 16:00:00,"356,94",
04.01.2021 16:00:00,"351,49",
05.01.2021 16:00:00,"347,42",
06.01.2021 16:00:00,"347,55",
07.01.2021 16:00:00,"349,86",
08.01.2021 16:00:00,"353,85",
11.01.2021 16:00:00,"348,2",
12.01.2021 16:00:00,"342,92",
13.01.2021 16:00:00,"346,33",
14.01.2021 16:00:00,"326,93",
15.01.2021 16:00:00,"323,26",
19.01.2021 16:00:00,"325,94",
20.01.2021 16:00:00,"334,91",
21.01.2021 16:00:00,"334,44",
22.01.2021 16:00:00,"328,99",
25.01.2021 16:00:00,"329,19",
26.01.2021 16:00:00,"327,7",
27.01.2021 16:00:00,"315,49",
