Date,Close
01.07.2020 16:00:00,"184,66",
02.07.2020 16:00:00,"183,52",
06.07.2020 16:00:00,"188,5",
07.07.2020 16:00:00,"185,82",
08.07.2020 16:00:00,"185,85",
09.07.2020 16:00:00,"184,33",
10.07.2020 16:00:00,"184,88",
13.07.2020 16:00:00,"184,92",
14.07.2020 16:00:00,"190,72",
15.07.2020 16:00:00,"191,77",
16.07.2020 16:00:00,"190,92",
17.07.2020 16:00:00,"191,48",
20.07.2020 16:00:00,"191,61",
21.07.2020 16:00:00,"192,98",
22.07.2020 16:00:00,"198,62",
23.07.2020 16:00:00,"197,55",
24.07.2020 16:00:00,"198,72",
27.07.2020 16:00:00,"201,25",
28.07.2020 16:00:00,"196,24",
29.07.2020 16:00:00,"196,21",
30.07.2020 16:00:00,"195,41",
31.07.2020 16:00:00,"194,28",
03.08.2020 16:00:00,"194,4",
04.08.2020 16:00:00,"199,36",
05.08.2020 16:00:00,"199,26",
06.08.2020 16:00:00,"203,18",
07.08.2020 16:00:00,"204,6",
10.08.2020 16:00:00,"204,12",
11.08.2020 16:00:00,205
12.08.2020 16:00:00,"206,02",
13.08.2020 16:00:00,"206,49",
14.08.2020 16:00:00,"207,03",
17.08.2020 16:00:00,"208,67",
18.08.2020 16:00:00,"210,32",
19.08.2020 16:00:00,"209,51",
20.08.2020 16:00:00,"209,88",
21.08.2020 16:00:00,"211,57",
24.08.2020 16:00:00,"212,62",
25.08.2020 16:00:00,"212,65",
26.08.2020 16:00:00,"213,76",
27.08.2020 16:00:00,"212,19",
28.08.2020 16:00:00,"214,91",
31.08.2020 16:00:00,"213,52",
01.09.2020 16:00:00,"212,69",
02.09.2020 16:00:00,"216,23",
03.09.2020 16:00:00,"213,8",
04.09.2020 16:00:00,"211,73",
08.09.2020 16:00:00,"213,58",
09.09.2020 16:00:00,"215,71",
10.09.2020 16:00:00,"217,24",
11.09.2020 16:00:00,218
14.09.2020 16:00:00,"220,56",
15.09.2020 16:00:00,"222,37",
16.09.2020 16:00:00,"224,81",
17.09.2020 16:00:00,"222,58",
18.09.2020 16:00:00,"220,27",
21.09.2020 16:00:00,"216,41",
22.09.2020 16:00:00,"216,41",
23.09.2020 16:00:00,"214,97",
24.09.2020 16:00:00,"216,12",
25.09.2020 16:00:00,"218,18",
28.09.2020 16:00:00,"220,26",
29.09.2020 16:00:00,"218,68",
30.09.2020 16:00:00,"219,49",
01.10.2020 16:00:00,"219,59",
02.10.2020 16:00:00,"222,67",
05.10.2020 16:00:00,"226,07",
06.10.2020 16:00:00,"224,09",
07.10.2020 16:00:00,"226,48",
08.10.2020 16:00:00,"225,8",
09.10.2020 16:00:00,"224,83",
12.10.2020 16:00:00,"226,11",
13.10.2020 16:00:00,"227,35",
14.10.2020 16:00:00,"227,62",
15.10.2020 16:00:00,"229,64",
