Date,Close
01.07.2020 16:00:00,"237,55",
02.07.2020 16:00:00,"233,42",
06.07.2020 16:00:00,"240,28",
07.07.2020 16:00:00,"240,86",
08.07.2020 16:00:00,"243,58",
09.07.2020 16:00:00,"244,5",
10.07.2020 16:00:00,"245,07",
13.07.2020 16:00:00,239
14.07.2020 16:00:00,"239,73",
15.07.2020 16:00:00,"240,28",
16.07.2020 16:00:00,"240,93",
17.07.2020 16:00:00,"242,03",
20.07.2020 16:00:00,"245,42",
21.07.2020 16:00:00,"241,75",
22.07.2020 16:00:00,"239,87",
23.07.2020 16:00:00,"232,6",
24.07.2020 16:00:00,"230,71",
27.07.2020 16:00:00,"233,5",
28.07.2020 16:00:00,"230,12",
29.07.2020 16:00:00,"233,29",
30.07.2020 16:00:00,"234,5",
31.07.2020 16:00:00,"253,67",
03.08.2020 16:00:00,"251,96",
04.08.2020 16:00:00,"249,83",
05.08.2020 16:00:00,"249,12",
06.08.2020 16:00:00,"265,28",
07.08.2020 16:00:00,"268,44",
10.08.2020 16:00:00,263
11.08.2020 16:00:00,"256,13",
12.08.2020 16:00:00,"259,89",
13.08.2020 16:00:00,"261,3",
14.08.2020 16:00:00,"261,24",
17.08.2020 16:00:00,"261,16",
18.08.2020 16:00:00,"262,34",
19.08.2020 16:00:00,"262,59",
20.08.2020 16:00:00,"269,01",
21.08.2020 16:00:00,"267,01",
24.08.2020 16:00:00,"271,39",
25.08.2020 16:00:00,"280,82",
26.08.2020 16:00:00,"303,91",
27.08.2020 16:00:00,"293,22",
28.08.2020 16:00:00,"293,66",
31.08.2020 16:00:00,"293,2",
01.09.2020 16:00:00,"295,44",
02.09.2020 16:00:00,"302,5",
03.09.2020 16:00:00,"291,12",
04.09.2020 16:00:00,"282,73",
08.09.2020 16:00:00,"271,16",
09.09.2020 16:00:00,"273,72",
10.09.2020 16:00:00,"268,09",
11.09.2020 16:00:00,"266,61",
14.09.2020 16:00:00,"266,15",
15.09.2020 16:00:00,"272,42",
16.09.2020 16:00:00,"263,52",
17.09.2020 16:00:00,"254,82",
18.09.2020 16:00:00,"252,53",
21.09.2020 16:00:00,"248,15",
22.09.2020 16:00:00,"254,75",
23.09.2020 16:00:00,"249,02",
24.09.2020 16:00:00,"249,53",
25.09.2020 16:00:00,"254,82",
28.09.2020 16:00:00,"256,82",
29.09.2020 16:00:00,"261,79",
30.09.2020 16:00:00,"261,9",
01.10.2020 16:00:00,"266,63",
02.10.2020 16:00:00,"259,94",
05.10.2020 16:00:00,"264,65",
06.10.2020 16:00:00,"258,66",
07.10.2020 16:00:00,"258,12",
08.10.2020 16:00:00,"263,76",
09.10.2020 16:00:00,"264,45",
12.10.2020 16:00:00,"275,75",
13.10.2020 16:00:00,"276,14",
14.10.2020 16:00:00,"271,82",
15.10.2020 16:00:00,"266,72",
16.10.2020 16:00:00,"265,93",
19.10.2020 16:00:00,"261,4",
20.10.2020 16:00:00,"267,56",
21.10.2020 16:00:00,"278,73",
22.10.2020 16:00:00,"278,12",
23.10.2020 16:00:00,"284,79",
26.10.2020 16:00:00,"277,11",
27.10.2020 16:00:00,"283,29",
28.10.2020 16:00:00,"267,67",
29.10.2020 16:00:00,"280,83",
30.10.2020 16:00:00,"263,11",
02.11.2020 16:00:00,"261,36",
03.11.2020 16:00:00,"265,3",
04.11.2020 16:00:00,"287,38",
05.11.2020 16:00:00,"294,68",
06.11.2020 16:00:00,"293,41",
09.11.2020 16:00:00,"278,77",
10.11.2020 16:00:00,"272,43",
11.11.2020 16:00:00,"276,48",
12.11.2020 16:00:00,"275,08",
13.11.2020 16:00:00,"276,95",
16.11.2020 16:00:00,"278,96",
17.11.2020 16:00:00,275
18.11.2020 16:00:00,"271,97",
19.11.2020 16:00:00,"272,94",
20.11.2020 16:00:00,"269,7",
23.11.2020 16:00:00,"268,43",
24.11.2020 16:00:00,"276,92",
25.11.2020 16:00:00,"275,59",
27.11.2020 13:00:00,"277,81",
30.11.2020 16:00:00,"276,97",
01.12.2020 16:00:00,"286,55",
02.12.2020 16:00:00,"287,52",
03.12.2020 16:00:00,"281,85",
04.12.2020 16:00:00,"279,7",
07.12.2020 16:00:00,"285,58",
08.12.2020 16:00:00,"283,4",
09.12.2020 16:00:00,"277,92",
10.12.2020 16:00:00,"277,12",
11.12.2020 16:00:00,"273,55",
14.12.2020 16:00:00,"274,19",
15.12.2020 16:00:00,"275,55",
16.12.2020 16:00:00,"275,67",
17.12.2020 16:00:00,"274,48",
18.12.2020 16:00:00,"276,4",
21.12.2020 16:00:00,"272,79",
22.12.2020 16:00:00,"267,09",
23.12.2020 16:00:00,"268,11",
24.12.2020 13:00:00,"267,4",
28.12.2020 16:00:00,277
29.12.2020 16:00:00,"276,78",
30.12.2020 16:00:00,"271,87",
31.12.2020 16:00:00,"273,16",
04.01.2021 16:00:00,"268,94",
05.01.2021 16:00:00,"270,97",
06.01.2021 16:00:00,"263,31",
07.01.2021 16:00:00,"268,74",
08.01.2021 16:00:00,"267,57",
11.01.2021 16:00:00,"256,84",
12.01.2021 16:00:00,"251,09",
13.01.2021 16:00:00,"251,64",
14.01.2021 16:00:00,"245,64",
15.01.2021 16:00:00,"251,36",
19.01.2021 16:00:00,"261,1",
20.01.2021 16:00:00,"267,48",
21.01.2021 16:00:00,"272,87",
22.01.2021 16:00:00,"274,5",
25.01.2021 16:00:00,"278,01",
26.01.2021 16:00:00,"282,05",
27.01.2021 16:00:00,"272,14",
28.01.2021 16:00:00,265
29.01.2021 16:00:00,"258,33",
01.02.2021 16:00:00,"262,01",
02.02.2021 16:00:00,"267,08",
03.02.2021 16:00:00,"266,65",
04.02.2021 16:00:00,"266,49",
05.02.2021 16:00:00,"268,1",
08.02.2021 16:00:00,"266,58",
09.02.2021 16:00:00,"269,45",
10.02.2021 16:00:00,"271,87",
11.02.2021 16:00:00,"270,39",
12.02.2021 16:00:00,"270,5",
16.02.2021 16:00:00,"273,97",
17.02.2021 16:00:00,"273,57",
18.02.2021 16:00:00,"269,39",
19.02.2021 16:00:00,"261,56",
22.02.2021 16:00:00,"260,33",
23.02.2021 16:00:00,"265,86",
24.02.2021 16:00:00,"264,31",
25.02.2021 16:00:00,"254,69",
26.02.2021 16:00:00,"257,62",
01.03.2021 16:00:00,"264,91",
02.03.2021 16:00:00,259
03.03.2021 16:00:00,"255,41",
04.03.2021 16:00:00,"257,64",
05.03.2021 16:00:00,"264,28",
08.03.2021 16:00:00,"255,31",
09.03.2021 16:00:00,"265,74",
10.03.2021 16:00:00,"264,9",
11.03.2021 16:00:00,"273,88",
12.03.2021 16:00:00,"268,4",
15.03.2021 16:00:00,"273,75",
16.03.2021 16:00:00,"279,28",
17.03.2021 16:00:00,"284,01",
18.03.2021 16:00:00,"278,62",
19.03.2021 16:00:00,"290,11",
22.03.2021 16:00:00,"293,54",
23.03.2021 16:00:00,"290,63",
24.03.2021 16:00:00,"282,14",
25.03.2021 16:00:00,"278,74",
26.03.2021 16:00:00,"283,02",
29.03.2021 16:00:00,"290,82",
30.03.2021 16:00:00,288
31.03.2021 16:00:00,"294,53",
01.04.2021 16:00:00,"298,66",
05.04.2021 16:00:00,"308,91",
06.04.2021 16:00:00,"306,26",
07.04.2021 16:00:00,"313,09",
08.04.2021 16:00:00,"313,02",
09.04.2021 16:00:00,"312,46",
12.04.2021 16:00:00,"311,54",
13.04.2021 16:00:00,"309,76",
14.04.2021 16:00:00,"302,82",
15.04.2021 16:00:00,"307,82",
16.04.2021 16:00:00,"306,18",
19.04.2021 16:00:00,"302,24",
20.04.2021 16:00:00,"302,65",
21.04.2021 16:00:00,"301,47",
22.04.2021 16:00:00,"296,52",
23.04.2021 16:00:00,"301,13",
26.04.2021 16:00:00,"303,04",
27.04.2021 16:00:00,"303,57",
28.04.2021 16:00:00,"307,1",
29.04.2021 16:00:00,"329,51",
30.04.2021 16:00:00,"325,08",
03.05.2021 16:00:00,"322,58",
04.05.2021 16:00:00,"318,36",
05.05.2021 16:00:00,"315,02",
06.05.2021 16:00:00,"320,02",
07.05.2021 16:00:00,"319,08",
10.05.2021 16:00:00,"305,97",
11.05.2021 16:00:00,"306,53",
12.05.2021 16:00:00,"302,55",
13.05.2021 16:00:00,"305,26",
14.05.2021 16:00:00,"315,94",
17.05.2021 16:00:00,"315,46",
18.05.2021 16:00:00,"309,96",
19.05.2021 16:00:00,"313,59",
20.05.2021 16:00:00,"318,61",
21.05.2021 16:00:00,"316,23",
24.05.2021 16:00:00,"324,63",
25.05.2021 16:00:00,"327,79",
26.05.2021 16:00:00,"327,66",
27.05.2021 16:00:00,"332,75",
28.05.2021 16:00:00,"328,73",
01.06.2021 16:00:00,"329,13",
02.06.2021 16:00:00,"329,15",
03.06.2021 16:00:00,"326,04",
04.06.2021 16:00:00,"330,35",
07.06.2021 16:00:00,"336,58",
08.06.2021 16:00:00,"333,68",
09.06.2021 16:00:00,"330,25",
10.06.2021 16:00:00,"332,46",
11.06.2021 16:00:00,"331,26",
14.06.2021 16:00:00,"336,77",
15.06.2021 16:00:00,"336,75",
16.06.2021 16:00:00,"331,08",
17.06.2021 16:00:00,"336,51",
18.06.2021 16:00:00,"329,66",
21.06.2021 16:00:00,"332,29",
22.06.2021 16:00:00,"339,03",
23.06.2021 16:00:00,"340,59",
24.06.2021 16:00:00,"343,18",
25.06.2021 16:00:00,"341,37",
28.06.2021 16:00:00,"355,64",
29.06.2021 16:00:00,"351,89",
30.06.2021 16:00:00,"347,71",
01.07.2021 16:00:00,"354,39",
02.07.2021 16:00:00,"354,7",
06.07.2021 16:00:00,"352,78",
07.07.2021 16:00:00,"350,49",
08.07.2021 16:00:00,"345,65",
09.07.2021 16:00:00,"350,42",
