Date,Close
01.07.2020 16:00:00,"204,7",
02.07.2020 16:00:00,"206,26",
06.07.2020 16:00:00,"210,7",
07.07.2020 16:00:00,"208,25",
08.07.2020 16:00:00,"212,83",
09.07.2020 16:00:00,"214,32",
10.07.2020 16:00:00,"213,67",
13.07.2020 16:00:00,"207,07",
14.07.2020 16:00:00,"208,35",
15.07.2020 16:00:00,"208,04",
16.07.2020 16:00:00,"203,92",
17.07.2020 16:00:00,"202,88",
20.07.2020 16:00:00,"211,6",
21.07.2020 16:00:00,"208,75",
22.07.2020 16:00:00,"211,75",
23.07.2020 16:00:00,"202,54",
24.07.2020 16:00:00,"201,3",
27.07.2020 16:00:00,"203,85",
28.07.2020 16:00:00,"202,02",
29.07.2020 16:00:00,"204,06",
30.07.2020 16:00:00,"203,9",
31.07.2020 16:00:00,"205,01",
03.08.2020 16:00:00,"216,54",
04.08.2020 16:00:00,"213,29",
05.08.2020 16:00:00,"212,94",
06.08.2020 16:00:00,"216,35",
07.08.2020 16:00:00,"212,48",
10.08.2020 16:00:00,"208,25",
11.08.2020 16:00:00,"203,38",
12.08.2020 16:00:00,"209,19",
13.08.2020 16:00:00,"208,7",
14.08.2020 16:00:00,"208,9",
17.08.2020 16:00:00,"210,28",
18.08.2020 16:00:00,"211,49",
19.08.2020 16:00:00,"209,7",
20.08.2020 16:00:00,"214,58",
21.08.2020 16:00:00,"213,02",
24.08.2020 16:00:00,"213,69",
25.08.2020 16:00:00,"216,47",
26.08.2020 16:00:00,"221,15",
27.08.2020 16:00:00,"226,58",
28.08.2020 16:00:00,"228,91",
31.08.2020 16:00:00,"225,53",
01.09.2020 16:00:00,"227,27",
02.09.2020 16:00:00,"231,65",
03.09.2020 16:00:00,"217,3",
04.09.2020 16:00:00,"214,25",
08.09.2020 16:00:00,"202,66",
09.09.2020 16:00:00,"211,29",
10.09.2020 16:00:00,"205,37",
11.09.2020 16:00:00,"204,03",
14.09.2020 16:00:00,"205,41",
15.09.2020 16:00:00,"208,78",
16.09.2020 16:00:00,"205,05",
17.09.2020 16:00:00,"202,91",
18.09.2020 16:00:00,"200,39",
21.09.2020 16:00:00,"202,54",
22.09.2020 16:00:00,"207,42",
23.09.2020 16:00:00,"200,59",
24.09.2020 16:00:00,"203,19",
25.09.2020 16:00:00,"207,82",
28.09.2020 16:00:00,"209,44",
29.09.2020 16:00:00,"207,26",
30.09.2020 16:00:00,"210,33",
01.10.2020 16:00:00,"212,46",
02.10.2020 16:00:00,"206,19",
05.10.2020 16:00:00,"210,38",
06.10.2020 16:00:00,"205,91",
07.10.2020 16:00:00,"209,83",
08.10.2020 16:00:00,"210,58",
09.10.2020 16:00:00,"215,81",
12.10.2020 16:00:00,"221,4",
13.10.2020 16:00:00,"222,86",
14.10.2020 16:00:00,"220,86",
15.10.2020 16:00:00,"219,66",
16.10.2020 16:00:00,"219,66",
19.10.2020 16:00:00,"214,22",
20.10.2020 16:00:00,"214,65",
21.10.2020 16:00:00,"214,8",
22.10.2020 16:00:00,"214,89",
23.10.2020 16:00:00,"216,23",
26.10.2020 16:00:00,"210,08",
