Date,Close
01.07.2020 16:00:00,"485,64",
02.07.2020 16:00:00,"476,89",
06.07.2020 16:00:00,"493,81",
07.07.2020 16:00:00,"493,16",
08.07.2020 16:00:00,"502,78",
09.07.2020 16:00:00,"507,76",
10.07.2020 16:00:00,"548,73",
13.07.2020 16:00:00,"525,5",
14.07.2020 16:00:00,"524,88",
15.07.2020 16:00:00,"523,26",
16.07.2020 16:00:00,"527,39",
17.07.2020 16:00:00,"492,99",
20.07.2020 16:00:00,"502,41",
21.07.2020 16:00:00,"490,1",
22.07.2020 16:00:00,"489,82",
23.07.2020 16:00:00,"477,58",
24.07.2020 16:00:00,"480,45",
27.07.2020 16:00:00,"495,65",
28.07.2020 16:00:00,"488,51",
29.07.2020 16:00:00,"484,48",
30.07.2020 16:00:00,"485,8",
31.07.2020 16:00:00,"488,88",
03.08.2020 16:00:00,"498,62",
04.08.2020 16:00:00,"509,64",
05.08.2020 16:00:00,"502,11",
06.08.2020 16:00:00,"509,08",
07.08.2020 16:00:00,"494,73",
10.08.2020 16:00:00,"483,38",
11.08.2020 16:00:00,"466,93",
12.08.2020 16:00:00,"475,47",
13.08.2020 16:00:00,"481,33",
14.08.2020 16:00:00,"482,68",
17.08.2020 16:00:00,"482,35",
18.08.2020 16:00:00,"491,87",
19.08.2020 16:00:00,"484,53",
20.08.2020 16:00:00,"497,9",
21.08.2020 16:00:00,"492,31",
24.08.2020 16:00:00,"488,81",
25.08.2020 16:00:00,"490,58",
26.08.2020 16:00:00,"547,53",
27.08.2020 16:00:00,"526,27",
28.08.2020 16:00:00,"523,89",
31.08.2020 16:00:00,"529,56",
01.09.2020 16:00:00,"556,55",
02.09.2020 16:00:00,"552,84",
03.09.2020 16:00:00,"525,75",
04.09.2020 16:00:00,"516,05",
08.09.2020 16:00:00,"507,02",
09.09.2020 16:00:00,"500,19",
10.09.2020 16:00:00,"480,67",
11.09.2020 16:00:00,"482,03",
14.09.2020 16:00:00,"476,26",
15.09.2020 16:00:00,"495,99",
16.09.2020 16:00:00,"483,86",
17.09.2020 16:00:00,"470,2",
18.09.2020 16:00:00,"469,96",
21.09.2020 16:00:00,"487,35",
22.09.2020 16:00:00,"491,17",
23.09.2020 16:00:00,"470,61",
24.09.2020 16:00:00,"473,08",
25.09.2020 16:00:00,"482,88",
28.09.2020 16:00:00,"490,65",
29.09.2020 16:00:00,"493,48",
30.09.2020 16:00:00,"500,03",
01.10.2020 16:00:00,"527,51",
02.10.2020 16:00:00,"503,06",
05.10.2020 16:00:00,"520,65",
06.10.2020 16:00:00,"505,87",
07.10.2020 16:00:00,"534,66",
08.10.2020 16:00:00,"531,79",
09.10.2020 16:00:00,"539,44",
12.10.2020 16:00:00,"539,81",
13.10.2020 16:00:00,"554,09",
14.10.2020 16:00:00,"541,45",
15.10.2020 16:00:00,"541,94",
16.10.2020 16:00:00,"530,79",
19.10.2020 16:00:00,"530,72",
20.10.2020 16:00:00,"525,42",
21.10.2020 16:00:00,"489,05",
22.10.2020 16:00:00,"485,23",
23.10.2020 16:00:00,"488,28",
26.10.2020 16:00:00,"488,24",
27.10.2020 16:00:00,"488,93",
28.10.2020 16:00:00,"486,24",
29.10.2020 16:00:00,"504,21",
30.10.2020 16:00:00,"475,74",
02.11.2020 16:00:00,"484,12",
03.11.2020 16:00:00,"487,22",
04.11.2020 16:00:00,"496,95",
05.11.2020 16:00:00,"513,76",
06.11.2020 16:00:00,"514,73",
09.11.2020 16:00:00,"470,5",
10.11.2020 16:00:00,"480,24",
11.11.2020 16:00:00,"490,76",
12.11.2020 16:00:00,"486,77",
13.11.2020 16:00:00,"482,84",
16.11.2020 16:00:00,"479,1",
17.11.2020 16:00:00,"480,63",
18.11.2020 16:00:00,"481,79",
19.11.2020 16:00:00,"484,67",
20.11.2020 16:00:00,"488,24",
23.11.2020 16:00:00,"476,62",
24.11.2020 16:00:00,"482,88",
25.11.2020 16:00:00,485
27.11.2020 13:00:00,"491,36",
30.11.2020 16:00:00,"490,7",
01.12.2020 16:00:00,"504,58",
02.12.2020 16:00:00,"503,38",
03.12.2020 16:00:00,"497,52",
04.12.2020 16:00:00,"498,31",
07.12.2020 16:00:00,"515,78",
08.12.2020 16:00:00,"512,66",
09.12.2020 16:00:00,"493,6",
10.12.2020 16:00:00,"501,09",
11.12.2020 16:00:00,"503,22",
14.12.2020 16:00:00,"522,42",
15.12.2020 16:00:00,"519,78",
16.12.2020 16:00:00,"524,83",
17.12.2020 16:00:00,"532,9",
18.12.2020 16:00:00,"534,45",
21.12.2020 16:00:00,"528,91",
22.12.2020 16:00:00,"527,33",
23.12.2020 16:00:00,"514,48",
24.12.2020 13:00:00,"513,97",
28.12.2020 16:00:00,"519,12",
29.12.2020 16:00:00,"530,87",
30.12.2020 16:00:00,"524,59",
31.12.2020 16:00:00,"540,73",
04.01.2021 16:00:00,"522,86",
05.01.2021 16:00:00,"520,8",
06.01.2021 16:00:00,"500,49",
07.01.2021 16:00:00,"508,89",
08.01.2021 16:00:00,"510,4",
11.01.2021 16:00:00,"499,1",
12.01.2021 16:00:00,"494,25",
13.01.2021 16:00:00,"507,79",
14.01.2021 16:00:00,"500,86",
15.01.2021 16:00:00,"497,98",
19.01.2021 16:00:00,"501,77",
20.01.2021 16:00:00,"586,34",
21.01.2021 16:00:00,"579,84",
22.01.2021 16:00:00,"565,17",
25.01.2021 16:00:00,"556,78",
26.01.2021 16:00:00,"561,93",
27.01.2021 16:00:00,"523,28",
28.01.2021 16:00:00,"538,6",
29.01.2021 16:00:00,"532,39",
01.02.2021 16:00:00,"539,04",
02.02.2021 16:00:00,"548,16",
03.02.2021 16:00:00,"539,45",
04.02.2021 16:00:00,"552,16",
05.02.2021 16:00:00,"550,79",
08.02.2021 16:00:00,"547,92",
09.02.2021 16:00:00,"559,07",
10.02.2021 16:00:00,"563,59",
11.02.2021 16:00:00,"557,59",
12.02.2021 16:00:00,"556,52",
16.02.2021 16:00:00,"557,28",
17.02.2021 16:00:00,"551,34",
18.02.2021 16:00:00,"548,22",
19.02.2021 16:00:00,"540,22",
22.02.2021 16:00:00,"533,78",
23.02.2021 16:00:00,"546,15",
24.02.2021 16:00:00,"553,41",
25.02.2021 16:00:00,"546,7",
26.02.2021 16:00:00,"538,85",
01.03.2021 16:00:00,"550,64",
02.03.2021 16:00:00,"547,82",
03.03.2021 16:00:00,"520,7",
04.03.2021 16:00:00,"511,29",
05.03.2021 16:00:00,"516,39",
08.03.2021 16:00:00,"493,33",
09.03.2021 16:00:00,"506,44",
10.03.2021 16:00:00,"504,54",
11.03.2021 16:00:00,"523,06",
12.03.2021 16:00:00,"518,02",
15.03.2021 16:00:00,"520,25",
16.03.2021 16:00:00,"524,03",
17.03.2021 16:00:00,"524,44",
18.03.2021 16:00:00,"504,79",
19.03.2021 16:00:00,"512,18",
22.03.2021 16:00:00,"523,11",
23.03.2021 16:00:00,"535,09",
24.03.2021 16:00:00,"520,81",
25.03.2021 16:00:00,"502,86",
26.03.2021 16:00:00,"508,05",
29.03.2021 16:00:00,"513,95",
30.03.2021 16:00:00,"513,39",
31.03.2021 16:00:00,"521,66",
01.04.2021 16:00:00,"539,42",
05.04.2021 16:00:00,"540,67",
06.04.2021 16:00:00,"544,53",
07.04.2021 16:00:00,"546,99",
08.04.2021 16:00:00,"554,58",
09.04.2021 16:00:00,"555,31",
12.04.2021 16:00:00,"552,78",
13.04.2021 16:00:00,"553,73",
14.04.2021 16:00:00,"540,02",
15.04.2021 16:00:00,"549,22",
16.04.2021 16:00:00,"546,54",
19.04.2021 16:00:00,"554,44",
20.04.2021 16:00:00,"549,57",
21.04.2021 16:00:00,"508,9",
22.04.2021 16:00:00,"508,78",
23.04.2021 16:00:00,"505,55",
26.04.2021 16:00:00,"510,3",
27.04.2021 16:00:00,"505,55",
28.04.2021 16:00:00,"506,52",
29.04.2021 16:00:00,509
30.04.2021 16:00:00,"513,47",
03.05.2021 16:00:00,"509,11",
04.05.2021 16:00:00,"503,18",
05.05.2021 16:00:00,"496,08",
06.05.2021 16:00:00,"499,55",
07.05.2021 16:00:00,"503,84",
10.05.2021 16:00:00,"486,69",
11.05.2021 16:00:00,"495,08",
12.05.2021 16:00:00,"484,98",
13.05.2021 16:00:00,"486,66",
14.05.2021 16:00:00,"493,37",
17.05.2021 16:00:00,"488,94",
18.05.2021 16:00:00,"486,28",
19.05.2021 16:00:00,"487,7",
20.05.2021 16:00:00,"501,67",
21.05.2021 16:00:00,"497,89",
24.05.2021 16:00:00,"502,9",
25.05.2021 16:00:00,"501,34",
26.05.2021 16:00:00,"502,36",
27.05.2021 16:00:00,"503,86",
28.05.2021 16:00:00,"502,81",
01.06.2021 16:00:00,"499,08",
02.06.2021 16:00:00,"499,24",
03.06.2021 16:00:00,"489,43",
04.06.2021 16:00:00,"494,74",
07.06.2021 16:00:00,"494,66",
08.06.2021 16:00:00,"492,39",
09.06.2021 16:00:00,"485,81",
10.06.2021 16:00:00,"487,27",
11.06.2021 16:00:00,"488,77",
14.06.2021 16:00:00,"499,89",
15.06.2021 16:00:00,"491,9",
16.06.2021 16:00:00,"492,41",
17.06.2021 16:00:00,"498,34",
18.06.2021 16:00:00,"500,77",
21.06.2021 16:00:00,497
22.06.2021 16:00:00,"508,82",
23.06.2021 16:00:00,"512,74",
24.06.2021 16:00:00,"518,06",
25.06.2021 16:00:00,"527,07",
28.06.2021 16:00:00,"533,03",
29.06.2021 16:00:00,"533,5",
30.06.2021 16:00:00,"528,21",
01.07.2021 16:00:00,"533,54",
02.07.2021 16:00:00,"533,98",
06.07.2021 16:00:00,"541,64",
07.07.2021 16:00:00,"535,96",
08.07.2021 16:00:00,"530,76",
09.07.2021 16:00:00,"535,98",
12.07.2021 16:00:00,"537,31",
13.07.2021 16:00:00,"540,68",
14.07.2021 16:00:00,"547,95",
15.07.2021 16:00:00,"542,95",
16.07.2021 16:00:00,"530,31",
19.07.2021 16:00:00,"532,28",
20.07.2021 16:00:00,"531,05",
21.07.2021 16:00:00,"513,63",
22.07.2021 16:00:00,"511,77",
23.07.2021 16:00:00,"515,41",
26.07.2021 16:00:00,"516,49",
27.07.2021 16:00:00,"518,91",
28.07.2021 16:00:00,"519,3",
29.07.2021 16:00:00,"514,25",
30.07.2021 16:00:00,"517,57",
02.08.2021 16:00:00,"515,15",
03.08.2021 16:00:00,"510,82",
04.08.2021 16:00:00,"517,35",
05.08.2021 16:00:00,"524,89",
06.08.2021 16:00:00,"520,55",
09.08.2021 16:00:00,"519,97",
10.08.2021 16:00:00,"515,84",
11.08.2021 16:00:00,"512,4",
12.08.2021 16:00:00,"510,72",
13.08.2021 16:00:00,"515,92",
16.08.2021 16:00:00,"517,92",
17.08.2021 16:00:00,"518,91",
18.08.2021 16:00:00,"521,87",
19.08.2021 16:00:00,"543,71",
20.08.2021 16:00:00,"546,88",
23.08.2021 16:00:00,"553,33",
24.08.2021 16:00:00,"553,41",
25.08.2021 16:00:00,"547,58",
26.08.2021 16:00:00,"550,12",
27.08.2021 16:00:00,"558,92",
30.08.2021 16:00:00,"566,18",
31.08.2021 16:00:00,"569,19",
01.09.2021 16:00:00,"582,07",
02.09.2021 16:00:00,"588,55",
03.09.2021 16:00:00,"590,53",
07.09.2021 16:00:00,"606,71",
08.09.2021 16:00:00,"606,05",
09.09.2021 16:00:00,"597,54",
10.09.2021 16:00:00,"598,72",
13.09.2021 16:00:00,"589,29",
14.09.2021 16:00:00,"577,76",
15.09.2021 16:00:00,"582,87",
16.09.2021 16:00:00,"586,5",
17.09.2021 16:00:00,"589,35",
20.09.2021 16:00:00,"575,43",
21.09.2021 16:00:00,"573,14",
22.09.2021 16:00:00,"590,65",
23.09.2021 16:00:00,"593,26",
24.09.2021 16:00:00,"592,39",
27.09.2021 16:00:00,"592,64",
28.09.2021 16:00:00,"583,85",
29.09.2021 16:00:00,"599,06",
30.09.2021 16:00:00,"610,34",
01.10.2021 16:00:00,"613,15",
04.10.2021 16:00:00,"603,35",
05.10.2021 16:00:00,"634,81",
06.10.2021 16:00:00,"639,1",
07.10.2021 16:00:00,"631,85",
08.10.2021 16:00:00,"632,66",
11.10.2021 16:00:00,"627,04",
12.10.2021 16:00:00,"624,94",
13.10.2021 16:00:00,"629,76",
14.10.2021 16:00:00,"633,8",
15.10.2021 16:00:00,"628,29",
18.10.2021 16:00:00,"637,97",
19.10.2021 16:00:00,639
20.10.2021 16:00:00,"625,14",
21.10.2021 16:00:00,"653,16",
22.10.2021 16:00:00,"664,78",
25.10.2021 16:00:00,"671,66",
26.10.2021 16:00:00,"668,52",
27.10.2021 16:00:00,"662,92",
28.10.2021 16:00:00,"674,05",
29.10.2021 16:00:00,"690,31",
01.11.2021 16:00:00,"681,17",
02.11.2021 16:00:00,"677,72",
03.11.2021 16:00:00,"688,29",
04.11.2021 16:00:00,"668,4",
