Date,Close
01.07.2020 16:00:00,"97,4",
02.07.2020 16:00:00,"98,43",
06.07.2020 16:00:00,"99,95",
07.07.2020 16:00:00,"97,07",
08.07.2020 16:00:00,"98,84",
09.07.2020 16:00:00,"96,99",
10.07.2020 16:00:00,"97,99",
13.07.2020 16:00:00,"96,46",
14.07.2020 16:00:00,"96,76",
15.07.2020 16:00:00,"98,54",
16.07.2020 16:00:00,"97,26",
17.07.2020 16:00:00,"96,28",
20.07.2020 16:00:00,"95,65",
21.07.2020 16:00:00,"98,36",
22.07.2020 16:00:00,"98,91",
23.07.2020 16:00:00,"98,3",
24.07.2020 16:00:00,"98,43",
27.07.2020 16:00:00,"97,21",
28.07.2020 16:00:00,"96,27",
29.07.2020 16:00:00,"96,97",
30.07.2020 16:00:00,"96,82",
31.07.2020 16:00:00,"97,61",
03.08.2020 16:00:00,"98,33",
04.08.2020 16:00:00,"97,33",
05.08.2020 16:00:00,"100,94",
06.08.2020 16:00:00,"100,45",
07.08.2020 16:00:00,"101,86",
10.08.2020 16:00:00,"105,41",
11.08.2020 16:00:00,"105,12",
12.08.2020 16:00:00,"105,22",
13.08.2020 16:00:00,"106,52",
14.08.2020 16:00:00,"106,43",
17.08.2020 16:00:00,"105,66",
18.08.2020 16:00:00,"106,97",
19.08.2020 16:00:00,"108,39",
20.08.2020 16:00:00,"108,01",
21.08.2020 16:00:00,"109,75",
24.08.2020 16:00:00,"111,83",
25.08.2020 16:00:00,"111,51",
26.08.2020 16:00:00,"111,53",
27.08.2020 16:00:00,"110,84",
28.08.2020 16:00:00,"112,29",
31.08.2020 16:00:00,"111,89",
01.09.2020 16:00:00,"114,84",
02.09.2020 16:00:00,"116,8",
03.09.2020 16:00:00,"112,85",
04.09.2020 16:00:00,"112,4",
08.09.2020 16:00:00,"112,72",
09.09.2020 16:00:00,"114,9",
10.09.2020 16:00:00,"114,79",
11.09.2020 16:00:00,118
14.09.2020 16:00:00,"119,28",
15.09.2020 16:00:00,"119,27",
16.09.2020 16:00:00,"118,59",
17.09.2020 16:00:00,"116,36",
18.09.2020 16:00:00,"114,66",
21.09.2020 16:00:00,"113,37",
22.09.2020 16:00:00,"116,87",
23.09.2020 16:00:00,"127,11",
24.09.2020 16:00:00,"124,75",
25.09.2020 16:00:00,"124,23",
28.09.2020 16:00:00,"124,32",
29.09.2020 16:00:00,"126,35",
30.09.2020 16:00:00,"125,54",
01.10.2020 16:00:00,"126,64",
02.10.2020 16:00:00,"126,64",
05.10.2020 16:00:00,"127,91",
06.10.2020 16:00:00,"127,65",
07.10.2020 16:00:00,"130,06",
08.10.2020 16:00:00,"129,71",
09.10.2020 16:00:00,"130,98",
12.10.2020 16:00:00,"129,46",
13.10.2020 16:00:00,"129,2",
14.10.2020 16:00:00,"127,66",
15.10.2020 16:00:00,129
16.10.2020 16:00:00,128
19.10.2020 16:00:00,"127,43",
