Date,Close
01.07.2020 16:00:00,"9,53",
02.07.2020 16:00:00,"9,61",
06.07.2020 16:00:00,"9,84",
07.07.2020 16:00:00,"9,87",
08.07.2020 16:00:00,"10,22",
09.07.2020 16:00:00,"10,51",
10.07.2020 16:00:00,"10,48",
13.07.2020 16:00:00,"10,05",
14.07.2020 16:00:00,"10,38",
15.07.2020 16:00:00,"10,23",
16.07.2020 16:00:00,"10,13",
17.07.2020 16:00:00,"10,2",
20.07.2020 16:00:00,"10,51",
21.07.2020 16:00:00,"10,33",
22.07.2020 16:00:00,"10,44",
23.07.2020 16:00:00,"10,13",
24.07.2020 16:00:00,"10,19",
27.07.2020 16:00:00,"10,42",
28.07.2020 16:00:00,"10,22",
29.07.2020 16:00:00,"10,47",
30.07.2020 16:00:00,"10,61",
31.07.2020 16:00:00,"10,61",
03.08.2020 16:00:00,"11,01",
04.08.2020 16:00:00,"11,23",
05.08.2020 16:00:00,"11,29",
06.08.2020 16:00:00,"11,34",
07.08.2020 16:00:00,"11,2",
10.08.2020 16:00:00,"11,17",
11.08.2020 16:00:00,"10,85",
12.08.2020 16:00:00,"11,44",
13.08.2020 16:00:00,"11,44",
14.08.2020 16:00:00,"11,56",
17.08.2020 16:00:00,"12,34",
18.08.2020 16:00:00,"12,26",
19.08.2020 16:00:00,"12,14",
20.08.2020 16:00:00,"12,14",
21.08.2020 16:00:00,"12,68",
24.08.2020 16:00:00,"12,72",
25.08.2020 16:00:00,"12,75",
26.08.2020 16:00:00,"12,77",
27.08.2020 16:00:00,"12,63",
28.08.2020 16:00:00,"13,15",
31.08.2020 16:00:00,"13,37",
01.09.2020 16:00:00,"13,82",
02.09.2020 16:00:00,"14,35",
03.09.2020 16:00:00,"13,02",
04.09.2020 16:00:00,"12,62",
08.09.2020 16:00:00,"11,91",
09.09.2020 16:00:00,"12,72",
10.09.2020 16:00:00,"12,31",
11.09.2020 16:00:00,"12,16",
14.09.2020 16:00:00,"12,87",
15.09.2020 16:00:00,"12,99",
16.09.2020 16:00:00,"12,51",
17.09.2020 16:00:00,"12,46",
18.09.2020 16:00:00,"12,19",
21.09.2020 16:00:00,"12,52",
22.09.2020 16:00:00,"12,64",
23.09.2020 16:00:00,"12,12",
24.09.2020 16:00:00,"12,35",
25.09.2020 16:00:00,"12,87",
28.09.2020 16:00:00,"13,04",
29.09.2020 16:00:00,"13,23",
30.09.2020 16:00:00,"13,53",
01.10.2020 16:00:00,"13,61",
02.10.2020 16:00:00,"13,06",
05.10.2020 16:00:00,"13,64",
06.10.2020 16:00:00,"13,74",
07.10.2020 16:00:00,"13,96",
08.10.2020 16:00:00,"13,84",
09.10.2020 16:00:00,"13,76",
12.10.2020 16:00:00,"14,23",
13.10.2020 16:00:00,"14,25",
14.10.2020 16:00:00,"14,1",
15.10.2020 16:00:00,"13,97",
16.10.2020 16:00:00,"13,81",
19.10.2020 16:00:00,"13,5",
20.10.2020 16:00:00,"13,65",
21.10.2020 16:00:00,"13,52",
22.10.2020 16:00:00,"13,36",
23.10.2020 16:00:00,"13,59",
26.10.2020 16:00:00,"13,14",
27.10.2020 16:00:00,"13,4",
28.10.2020 16:00:00,"12,63",
29.10.2020 16:00:00,"13,02",
30.10.2020 16:00:00,"12,53",
02.11.2020 16:00:00,"12,58",
03.11.2020 16:00:00,"13,02",
04.11.2020 16:00:00,"13,79",
05.11.2020 16:00:00,"14,16",
06.11.2020 16:00:00,"14,56",
09.11.2020 16:00:00,"13,63",
10.11.2020 16:00:00,"12,77",
11.11.2020 16:00:00,"13,42",
12.11.2020 16:00:00,"13,46",
13.11.2020 16:00:00,"13,3",
16.11.2020 16:00:00,"13,52",
17.11.2020 16:00:00,"13,42",
18.11.2020 16:00:00,"13,43",
19.11.2020 16:00:00,"13,44",
20.11.2020 16:00:00,"13,09",
