Date,Close
01.07.2020 16:00:00,"55,49",
02.07.2020 16:00:00,"55,94",
06.07.2020 16:00:00,"56,6",
07.07.2020 16:00:00,"56,31",
08.07.2020 16:00:00,"56,66",
09.07.2020 16:00:00,"57,53",
10.07.2020 16:00:00,"57,39",
13.07.2020 16:00:00,"57,01",
14.07.2020 16:00:00,"57,2",
15.07.2020 16:00:00,"56,62",
16.07.2020 16:00:00,"55,82",
17.07.2020 16:00:00,"54,9",
20.07.2020 16:00:00,"55,4",
21.07.2020 16:00:00,"55,91",
22.07.2020 16:00:00,"56,01",
23.07.2020 16:00:00,"55,76",
24.07.2020 16:00:00,"55,65",
27.07.2020 16:00:00,"55,34",
28.07.2020 16:00:00,"55,35",
29.07.2020 16:00:00,"55,7",
30.07.2020 16:00:00,"55,25",
31.07.2020 16:00:00,"55,45",
03.08.2020 16:00:00,"55,98",
04.08.2020 16:00:00,56
05.08.2020 16:00:00,"55,5",
06.08.2020 16:00:00,"55,28",
07.08.2020 16:00:00,"55,23",
10.08.2020 16:00:00,"54,94",
11.08.2020 16:00:00,"54,27",
12.08.2020 16:00:00,"54,17",
13.08.2020 16:00:00,"54,02",
14.08.2020 16:00:00,"54,2",
17.08.2020 16:00:00,"53,99",
18.08.2020 16:00:00,"55,18",
19.08.2020 16:00:00,"56,2",
20.08.2020 16:00:00,"55,26",
21.08.2020 16:00:00,"55,19",
24.08.2020 16:00:00,"56,01",
25.08.2020 16:00:00,"56,09",
26.08.2020 16:00:00,"57,49",
27.08.2020 16:00:00,"57,18",
28.08.2020 16:00:00,"57,88",
31.08.2020 16:00:00,"57,22",
01.09.2020 16:00:00,"57,66",
02.09.2020 16:00:00,"59,03",
03.09.2020 16:00:00,"57,1",
04.09.2020 16:00:00,"55,73",
08.09.2020 16:00:00,"55,32",
09.09.2020 16:00:00,"56,95",
10.09.2020 16:00:00,"57,33",
11.09.2020 16:00:00,57
14.09.2020 16:00:00,"59,46",
15.09.2020 16:00:00,"60,94",
16.09.2020 16:00:00,"60,43",
17.09.2020 16:00:00,"60,18",
18.09.2020 16:00:00,"59,75",
21.09.2020 16:00:00,"60,82",
22.09.2020 16:00:00,"60,62",
23.09.2020 16:00:00,"58,96",
24.09.2020 16:00:00,"59,3",
25.09.2020 16:00:00,"59,8",
28.09.2020 16:00:00,"59,58",
29.09.2020 16:00:00,"59,47",
30.09.2020 16:00:00,"59,7",
01.10.2020 16:00:00,"59,68",
02.10.2020 16:00:00,"58,83",
05.10.2020 16:00:00,"59,56",
06.10.2020 16:00:00,"59,51",
07.10.2020 16:00:00,"60,59",
08.10.2020 16:00:00,"60,89",
09.10.2020 16:00:00,"61,15",
12.10.2020 16:00:00,"61,46",
13.10.2020 16:00:00,"60,97",
14.10.2020 16:00:00,"60,96",
15.10.2020 16:00:00,"60,52",
