Date,Close
01.07.2020 16:00:00,"177,43",
02.07.2020 16:00:00,"177,21",
06.07.2020 16:00:00,"176,18",
07.07.2020 16:00:00,"177,28",
08.07.2020 16:00:00,"181,57",
09.07.2020 16:00:00,"183,23",
10.07.2020 16:00:00,"178,4",
13.07.2020 16:00:00,"171,51",
14.07.2020 16:00:00,"172,3",
15.07.2020 16:00:00,"172,06",
16.07.2020 16:00:00,"169,81",
17.07.2020 16:00:00,"173,92",
20.07.2020 16:00:00,"178,82",
21.07.2020 16:00:00,"175,58",
22.07.2020 16:00:00,"178,42",
23.07.2020 16:00:00,"173,86",
24.07.2020 16:00:00,"172,56",
27.07.2020 16:00:00,"177,98",
28.07.2020 16:00:00,"176,27",
29.07.2020 16:00:00,"184,6",
30.07.2020 16:00:00,"192,51",
31.07.2020 16:00:00,"196,07",
03.08.2020 16:00:00,"197,07",
04.08.2020 16:00:00,"197,33",
05.08.2020 16:00:00,"202,91",
06.08.2020 16:00:00,"204,09",
07.08.2020 16:00:00,"198,63",
10.08.2020 16:00:00,"193,32",
11.08.2020 16:00:00,"189,03",
12.08.2020 16:00:00,"191,32",
13.08.2020 16:00:00,"193,07",
14.08.2020 16:00:00,"191,46",
17.08.2020 16:00:00,"196,29",
18.08.2020 16:00:00,"194,57",
19.08.2020 16:00:00,"192,44",
20.08.2020 16:00:00,"198,18",
21.08.2020 16:00:00,"196,79",
24.08.2020 16:00:00,"198,88",
25.08.2020 16:00:00,"201,67",
26.08.2020 16:00:00,"203,48",
27.08.2020 16:00:00,"204,34",
28.08.2020 16:00:00,"204,48",
31.08.2020 16:00:00,"204,14",
01.09.2020 16:00:00,"208,93",
02.09.2020 16:00:00,"210,82",
03.09.2020 16:00:00,"204,99",
04.09.2020 16:00:00,"191,84",
08.09.2020 16:00:00,"185,95",
09.09.2020 16:00:00,"194,6",
10.09.2020 16:00:00,"190,09",
11.09.2020 16:00:00,184
14.09.2020 16:00:00,"186,96",
15.09.2020 16:00:00,"186,02",
16.09.2020 16:00:00,"180,91",
17.09.2020 16:00:00,"175,79",
18.09.2020 16:00:00,"176,07",
21.09.2020 16:00:00,"183,21",
22.09.2020 16:00:00,"187,78",
23.09.2020 16:00:00,"181,61",
24.09.2020 16:00:00,"182,19",
25.09.2020 16:00:00,"187,25",
28.09.2020 16:00:00,"192,02",
29.09.2020 16:00:00,"194,5",
30.09.2020 16:00:00,"197,03",
01.10.2020 16:00:00,"196,94",
02.10.2020 16:00:00,"191,91",
05.10.2020 16:00:00,"196,85",
06.10.2020 16:00:00,"191,66",
07.10.2020 16:00:00,"194,61",
08.10.2020 16:00:00,"193,06",
09.10.2020 16:00:00,"197,27",
12.10.2020 16:00:00,"201,51",
13.10.2020 16:00:00,"207,74",
14.10.2020 16:00:00,"203,6",
15.10.2020 16:00:00,"203,14",
16.10.2020 16:00:00,"204,45",
19.10.2020 16:00:00,"200,06",
20.10.2020 16:00:00,"201,96",
21.10.2020 16:00:00,"213,07",
22.10.2020 16:00:00,"203,93",
23.10.2020 16:00:00,"203,04",
26.10.2020 16:00:00,"197,22",
27.10.2020 16:00:00,"200,43",
28.10.2020 16:00:00,"192,31",
29.10.2020 16:00:00,"195,04",
30.10.2020 16:00:00,"186,13",
02.11.2020 16:00:00,"187,76",
03.11.2020 16:00:00,"179,81",
04.11.2020 16:00:00,"194,29",
05.11.2020 16:00:00,"204,56",
06.11.2020 16:00:00,"202,73",
09.11.2020 16:00:00,"184,72",
10.11.2020 16:00:00,"183,36",
11.11.2020 16:00:00,"192,34",
12.11.2020 16:00:00,"189,1",
13.11.2020 16:00:00,"188,62",
16.11.2020 16:00:00,"191,94",
17.11.2020 16:00:00,"192,3",
18.11.2020 16:00:00,"190,12",
19.11.2020 16:00:00,"190,9",
20.11.2020 16:00:00,"192,67",
23.11.2020 16:00:00,"200,82",
24.11.2020 16:00:00,206
25.11.2020 16:00:00,"214,46",
27.11.2020 13:00:00,"211,39",
30.11.2020 16:00:00,"214,12",
01.12.2020 16:00:00,"216,54",
02.12.2020 16:00:00,"212,56",
03.12.2020 16:00:00,"214,54",
04.12.2020 16:00:00,"217,77",
07.12.2020 16:00:00,"217,93",
08.12.2020 16:00:00,"216,94",
09.12.2020 16:00:00,"210,8",
10.12.2020 16:00:00,"215,34",
11.12.2020 16:00:00,"214,06",
14.12.2020 16:00:00,"220,79",
15.12.2020 16:00:00,"221,6",
16.12.2020 16:00:00,"230,2",
17.12.2020 16:00:00,"235,51",
18.12.2020 16:00:00,"236,45",
21.12.2020 16:00:00,"237,72",
22.12.2020 16:00:00,"243,49",
23.12.2020 16:00:00,"239,44",
24.12.2020 13:00:00,"238,64",
28.12.2020 16:00:00,"235,73",
29.12.2020 16:00:00,"231,03",
30.12.2020 16:00:00,"231,51",
31.12.2020 16:00:00,"234,2",
04.01.2021 16:00:00,"231,92",
05.01.2021 16:00:00,"234,91",
06.01.2021 16:00:00,"226,83",
07.01.2021 16:00:00,"235,04",
08.01.2021 16:00:00,"242,46",
11.01.2021 16:00:00,"237,5",
12.01.2021 16:00:00,"237,64",
13.01.2021 16:00:00,"244,9",
14.01.2021 16:00:00,"242,06",
15.01.2021 16:00:00,"239,79",
19.01.2021 16:00:00,"247,25",
20.01.2021 16:00:00,"244,26",
21.01.2021 16:00:00,"248,64",
22.01.2021 16:00:00,252
25.01.2021 16:00:00,"247,75",
26.01.2021 16:00:00,241
27.01.2021 16:00:00,"229,94",
28.01.2021 16:00:00,"237,79",
29.01.2021 16:00:00,"234,31",
01.02.2021 16:00:00,"241,85",
02.02.2021 16:00:00,"249,1",
03.02.2021 16:00:00,"251,9",
04.02.2021 16:00:00,"270,43",
05.02.2021 16:00:00,"269,44",
08.02.2021 16:00:00,"282,17",
09.02.2021 16:00:00,"284,2",
10.02.2021 16:00:00,"283,18",
11.02.2021 16:00:00,"285,03",
12.02.2021 16:00:00,"298,37",
16.02.2021 16:00:00,"304,79",
17.02.2021 16:00:00,"297,2",
18.02.2021 16:00:00,"290,81",
19.02.2021 16:00:00,"286,92",
22.02.2021 16:00:00,"273,85",
23.02.2021 16:00:00,265
24.02.2021 16:00:00,"266,07",
25.02.2021 16:00:00,"253,94",
26.02.2021 16:00:00,"259,85",
01.03.2021 16:00:00,"273,63",
02.03.2021 16:00:00,"269,19",
03.03.2021 16:00:00,"255,06",
04.03.2021 16:00:00,"239,07",
05.03.2021 16:00:00,"239,05",
08.03.2021 16:00:00,"226,09",
09.03.2021 16:00:00,"241,76",
10.03.2021 16:00:00,"242,07",
11.03.2021 16:00:00,"253,83",
12.03.2021 16:00:00,"250,35",
15.03.2021 16:00:00,"249,98",
