Date,Close
01.07.2020 16:00:00,"132,36",
02.07.2020 16:00:00,"132,85",
06.07.2020 16:00:00,"133,3",
07.07.2020 16:00:00,"133,57",
08.07.2020 16:00:00,"134,22",
09.07.2020 16:00:00,"132,71",
10.07.2020 16:00:00,"134,46",
13.07.2020 16:00:00,"134,91",
14.07.2020 16:00:00,"135,52",
15.07.2020 16:00:00,"133,69",
16.07.2020 16:00:00,"133,88",
17.07.2020 16:00:00,"134,66",
20.07.2020 16:00:00,"133,11",
21.07.2020 16:00:00,"134,43",
22.07.2020 16:00:00,"136,01",
23.07.2020 16:00:00,"137,08",
24.07.2020 16:00:00,"136,06",
27.07.2020 16:00:00,"137,67",
28.07.2020 16:00:00,"137,38",
29.07.2020 16:00:00,"137,93",
30.07.2020 16:00:00,"137,69",
31.07.2020 16:00:00,"137,66",
03.08.2020 16:00:00,"136,7",
04.08.2020 16:00:00,"137,47",
05.08.2020 16:00:00,"136,25",
06.08.2020 16:00:00,"135,86",
07.08.2020 16:00:00,"136,74",
10.08.2020 16:00:00,"135,98",
11.08.2020 16:00:00,"135,12",
12.08.2020 16:00:00,"137,8",
13.08.2020 16:00:00,"138,1",
14.08.2020 16:00:00,"137,56",
17.08.2020 16:00:00,"137,92",
18.08.2020 16:00:00,"138,11",
19.08.2020 16:00:00,"136,45",
20.08.2020 16:00:00,"136,72",
21.08.2020 16:00:00,"136,46",
24.08.2020 16:00:00,"137,64",
25.08.2020 16:00:00,"137,3",
26.08.2020 16:00:00,"138,47",
27.08.2020 16:00:00,"138,4",
28.08.2020 16:00:00,"139,94",
31.08.2020 16:00:00,"140,06",
01.09.2020 16:00:00,"139,19",
02.09.2020 16:00:00,"143,29",
03.09.2020 16:00:00,"139,37",
04.09.2020 16:00:00,"138,76",
08.09.2020 16:00:00,"135,55",
09.09.2020 16:00:00,"137,11",
10.09.2020 16:00:00,"134,76",
11.09.2020 16:00:00,"135,81",
14.09.2020 16:00:00,"136,67",
15.09.2020 16:00:00,"135,62",
16.09.2020 16:00:00,"134,98",
17.09.2020 16:00:00,"133,2",
18.09.2020 16:00:00,"131,47",
21.09.2020 16:00:00,"131,24",
22.09.2020 16:00:00,"132,15",
23.09.2020 16:00:00,131
24.09.2020 16:00:00,"131,58",
25.09.2020 16:00:00,"133,55",
28.09.2020 16:00:00,"137,97",
29.09.2020 16:00:00,"137,16",
30.09.2020 16:00:00,"138,6",
01.10.2020 16:00:00,"140,8",
02.10.2020 16:00:00,"138,06",
05.10.2020 16:00:00,"137,93",
06.10.2020 16:00:00,"135,7",
07.10.2020 16:00:00,"137,01",
