Date,Close
01.07.2020 16:00:00,"31,96",
02.07.2020 16:00:00,"32,69",
06.07.2020 16:00:00,"32,69",
07.07.2020 16:00:00,"32,24",
08.07.2020 16:00:00,"31,97",
09.07.2020 16:00:00,"31,7",
10.07.2020 16:00:00,"32,05",
13.07.2020 16:00:00,"33,36",
14.07.2020 16:00:00,"33,37",
15.07.2020 16:00:00,"33,84",
16.07.2020 16:00:00,"33,73",
17.07.2020 16:00:00,"34,34",
20.07.2020 16:00:00,"34,58",
21.07.2020 16:00:00,"34,76",
22.07.2020 16:00:00,"36,53",
23.07.2020 16:00:00,"36,39",
24.07.2020 16:00:00,"35,68",
27.07.2020 16:00:00,"35,56",
28.07.2020 16:00:00,"36,96",
29.07.2020 16:00:00,"37,19",
30.07.2020 16:00:00,"36,7",
31.07.2020 16:00:00,"36,45",
03.08.2020 16:00:00,"36,33",
04.08.2020 16:00:00,"36,37",
05.08.2020 16:00:00,"36,42",
06.08.2020 16:00:00,"36,25",
07.08.2020 16:00:00,"36,42",
10.08.2020 16:00:00,"36,37",
11.08.2020 16:00:00,"35,8",
12.08.2020 16:00:00,"36,31",
13.08.2020 16:00:00,"36,16",
14.08.2020 16:00:00,"36,06",
17.08.2020 16:00:00,"36,33",
18.08.2020 16:00:00,"36,34",
19.08.2020 16:00:00,"36,25",
20.08.2020 16:00:00,"36,68",
21.08.2020 16:00:00,"36,83",
24.08.2020 16:00:00,"36,79",
25.08.2020 16:00:00,"36,39",
26.08.2020 16:00:00,"36,05",
27.08.2020 16:00:00,"35,87",
28.08.2020 16:00:00,"35,91",
31.08.2020 16:00:00,"35,8",
01.09.2020 16:00:00,"34,94",
02.09.2020 16:00:00,"35,24",
03.09.2020 16:00:00,"34,48",
04.09.2020 16:00:00,"34,45",
08.09.2020 16:00:00,"34,04",
09.09.2020 16:00:00,"34,27",
10.09.2020 16:00:00,"33,77",
11.09.2020 16:00:00,"34,17",
14.09.2020 16:00:00,"35,06",
15.09.2020 16:00:00,"35,01",
16.09.2020 16:00:00,"34,84",
17.09.2020 16:00:00,"34,88",
18.09.2020 16:00:00,"34,7",
21.09.2020 16:00:00,"34,12",
22.09.2020 16:00:00,"34,34",
23.09.2020 16:00:00,"34,1",
24.09.2020 16:00:00,"33,88",
25.09.2020 16:00:00,"34,15",
28.09.2020 16:00:00,"34,47",
29.09.2020 16:00:00,"34,27",
30.09.2020 16:00:00,"34,77",
01.10.2020 16:00:00,"34,45",
02.10.2020 16:00:00,"34,46",
05.10.2020 16:00:00,"34,81",
06.10.2020 16:00:00,"34,27",
07.10.2020 16:00:00,"34,55",
08.10.2020 16:00:00,"34,95",
09.10.2020 16:00:00,"34,85",
12.10.2020 16:00:00,"34,88",
13.10.2020 16:00:00,"34,96",
14.10.2020 16:00:00,"34,92",
15.10.2020 16:00:00,"34,63",
16.10.2020 16:00:00,"35,95",
19.10.2020 16:00:00,"35,81",
