Date,Close
01.07.2020 16:00:00,"74,03",
02.07.2020 16:00:00,"73,78",
06.07.2020 16:00:00,"75,44",
07.07.2020 16:00:00,"74,25",
08.07.2020 16:00:00,"74,14",
09.07.2020 16:00:00,"73,57",
10.07.2020 16:00:00,"74,29",
13.07.2020 16:00:00,"72,65",
14.07.2020 16:00:00,"72,73",
15.07.2020 16:00:00,"75,61",
16.07.2020 16:00:00,"74,39",
17.07.2020 16:00:00,"74,16",
20.07.2020 16:00:00,"74,96",
21.07.2020 16:00:00,"75,44",
22.07.2020 16:00:00,"77,24",
23.07.2020 16:00:00,"75,36",
24.07.2020 16:00:00,"75,78",
27.07.2020 16:00:00,"76,46",
28.07.2020 16:00:00,"74,64",
29.07.2020 16:00:00,"77,42",
30.07.2020 16:00:00,"76,64",
31.07.2020 16:00:00,"76,53",
03.08.2020 16:00:00,"75,5",
04.08.2020 16:00:00,"75,13",
05.08.2020 16:00:00,"75,78",
06.08.2020 16:00:00,"75,66",
07.08.2020 16:00:00,"75,79",
10.08.2020 16:00:00,"77,47",
11.08.2020 16:00:00,"78,87",
12.08.2020 16:00:00,"79,29",
13.08.2020 16:00:00,"79,02",
14.08.2020 16:00:00,"78,37",
17.08.2020 16:00:00,"78,95",
18.08.2020 16:00:00,"78,99",
19.08.2020 16:00:00,"77,63",
20.08.2020 16:00:00,"77,22",
21.08.2020 16:00:00,"77,07",
24.08.2020 16:00:00,"78,68",
25.08.2020 16:00:00,"82,72",
26.08.2020 16:00:00,"82,41",
27.08.2020 16:00:00,"83,41",
28.08.2020 16:00:00,85
31.08.2020 16:00:00,"84,47",
01.09.2020 16:00:00,"86,05",
02.09.2020 16:00:00,"88,35",
03.09.2020 16:00:00,"86,48",
04.09.2020 16:00:00,"86,27",
08.09.2020 16:00:00,"85,41",
09.09.2020 16:00:00,"85,86",
10.09.2020 16:00:00,"84,88",
11.09.2020 16:00:00,"85,27",
14.09.2020 16:00:00,"86,63",
15.09.2020 16:00:00,"87,71",
16.09.2020 16:00:00,"88,38",
17.09.2020 16:00:00,"86,75",
18.09.2020 16:00:00,"84,95",
21.09.2020 16:00:00,"83,89",
22.09.2020 16:00:00,"83,95",
23.09.2020 16:00:00,"82,99",
24.09.2020 16:00:00,"83,04",
25.09.2020 16:00:00,"84,3",
28.09.2020 16:00:00,"86,07",
29.09.2020 16:00:00,"84,8",
30.09.2020 16:00:00,"85,92",
01.10.2020 16:00:00,"86,74",
02.10.2020 16:00:00,"86,57",
05.10.2020 16:00:00,"88,47",
06.10.2020 16:00:00,"87,01",
07.10.2020 16:00:00,"88,45",
08.10.2020 16:00:00,"89,53",
09.10.2020 16:00:00,"90,01",
12.10.2020 16:00:00,"90,78",
13.10.2020 16:00:00,"90,16",
14.10.2020 16:00:00,"89,31",
15.10.2020 16:00:00,"88,83",
16.10.2020 16:00:00,"88,52",
19.10.2020 16:00:00,"87,6",
20.10.2020 16:00:00,"88,51",
21.10.2020 16:00:00,"88,27",
22.10.2020 16:00:00,"89,36",
23.10.2020 16:00:00,"90,8",
26.10.2020 16:00:00,"89,66",
27.10.2020 16:00:00,"90,05",
28.10.2020 16:00:00,"87,17",
29.10.2020 16:00:00,"88,3",
30.10.2020 16:00:00,"86,96",
02.11.2020 16:00:00,"85,97",
03.11.2020 16:00:00,"88,39",
04.11.2020 16:00:00,"89,79",
05.11.2020 16:00:00,"90,62",
06.11.2020 16:00:00,"90,65",
09.11.2020 16:00:00,"95,88",
10.11.2020 16:00:00,"93,92",
11.11.2020 16:00:00,"95,04",
12.11.2020 16:00:00,"93,53",
13.11.2020 16:00:00,"95,56",
16.11.2020 16:00:00,"97,78",
17.11.2020 16:00:00,"98,6",
18.11.2020 16:00:00,"97,91",
19.11.2020 16:00:00,"97,76",
20.11.2020 16:00:00,"97,01",
23.11.2020 16:00:00,"96,88",
24.11.2020 16:00:00,"98,3",
25.11.2020 16:00:00,"98,2",
27.11.2020 13:00:00,"98,66",
30.11.2020 16:00:00,"98,02",
01.12.2020 16:00:00,"98,82",
02.12.2020 16:00:00,"98,91",
03.12.2020 16:00:00,"100,11",
04.12.2020 16:00:00,"102,28",
07.12.2020 16:00:00,"101,41",
08.12.2020 16:00:00,"101,21",
09.12.2020 16:00:00,"100,4",
10.12.2020 16:00:00,"105,39",
11.12.2020 16:00:00,103
14.12.2020 16:00:00,"103,32",
15.12.2020 16:00:00,"104,18",
16.12.2020 16:00:00,"103,27",
17.12.2020 16:00:00,"103,21",
18.12.2020 16:00:00,"103,28",
21.12.2020 16:00:00,"102,94",
22.12.2020 16:00:00,"102,41",
23.12.2020 16:00:00,"102,06",
24.12.2020 13:00:00,"102,01",
28.12.2020 16:00:00,"104,34",
29.12.2020 16:00:00,"105,63",
30.12.2020 16:00:00,"105,97",
31.12.2020 16:00:00,"106,98",
04.01.2021 16:00:00,"103,1",
05.01.2021 16:00:00,"103,44",
06.01.2021 16:00:00,"104,19",
07.01.2021 16:00:00,"103,35",
08.01.2021 16:00:00,"105,67",
11.01.2021 16:00:00,"104,6",
12.01.2021 16:00:00,"102,82",
13.01.2021 16:00:00,"102,89",
14.01.2021 16:00:00,"101,82",
15.01.2021 16:00:00,"102,33",
19.01.2021 16:00:00,"102,54",
20.01.2021 16:00:00,"105,46",
21.01.2021 16:00:00,"104,58",
22.01.2021 16:00:00,"103,91",
25.01.2021 16:00:00,"103,45",
26.01.2021 16:00:00,"104,69",
27.01.2021 16:00:00,"97,87",
28.01.2021 16:00:00,"98,15",
29.01.2021 16:00:00,"96,81",
01.02.2021 16:00:00,"98,58",
02.02.2021 16:00:00,"101,65",
03.02.2021 16:00:00,"101,02",
04.02.2021 16:00:00,"103,64",
05.02.2021 16:00:00,"106,48",
08.02.2021 16:00:00,"106,26",
09.02.2021 16:00:00,"106,22",
10.02.2021 16:00:00,"105,87",
11.02.2021 16:00:00,"105,86",
12.02.2021 16:00:00,"105,3",
16.02.2021 16:00:00,"106,15",
17.02.2021 16:00:00,"104,44",
18.02.2021 16:00:00,"104,97",
19.02.2021 16:00:00,"103,37",
22.02.2021 16:00:00,"101,81",
