Date,Close
01.07.2020 16:00:00,"74,64",
02.07.2020 16:00:00,"80,58",
06.07.2020 16:00:00,"91,44",
07.07.2020 16:00:00,"92,66",
08.07.2020 16:00:00,"91,06",
09.07.2020 16:00:00,"92,95",
10.07.2020 16:00:00,"102,98",
13.07.2020 16:00:00,"99,8",
14.07.2020 16:00:00,"101,12",
15.07.2020 16:00:00,"103,07",
16.07.2020 16:00:00,"100,04",
17.07.2020 16:00:00,"100,06",
20.07.2020 16:00:00,"109,53",
21.07.2020 16:00:00,"104,56",
22.07.2020 16:00:00,"106,16",
23.07.2020 16:00:00,"100,87",
24.07.2020 16:00:00,"94,47",
27.07.2020 16:00:00,"102,64",
28.07.2020 16:00:00,"98,43",
29.07.2020 16:00:00,"99,94",
30.07.2020 16:00:00,"99,17",
31.07.2020 16:00:00,"95,38",
03.08.2020 16:00:00,99
04.08.2020 16:00:00,"99,13",
05.08.2020 16:00:00,99
06.08.2020 16:00:00,"99,31",
07.08.2020 16:00:00,"96,85",
10.08.2020 16:00:00,"94,57",
11.08.2020 16:00:00,"91,63",
12.08.2020 16:00:00,"103,65",
13.08.2020 16:00:00,"108,07",
14.08.2020 16:00:00,"110,05",
17.08.2020 16:00:00,"122,38",
18.08.2020 16:00:00,"125,81",
19.08.2020 16:00:00,"125,24",
20.08.2020 16:00:00,"133,46",
21.08.2020 16:00:00,"136,67",
24.08.2020 16:00:00,"134,28",
25.08.2020 16:00:00,"134,89",
26.08.2020 16:00:00,"143,54",
27.08.2020 16:00:00,"149,25",
28.08.2020 16:00:00,"147,56",
31.08.2020 16:00:00,"166,11",
01.09.2020 16:00:00,"158,35",
02.09.2020 16:00:00,"149,12",
03.09.2020 16:00:00,"135,67",
04.09.2020 16:00:00,"139,44",
08.09.2020 16:00:00,"110,07",
09.09.2020 16:00:00,"122,09",
10.09.2020 16:00:00,"123,78",
11.09.2020 16:00:00,"124,24",
14.09.2020 16:00:00,"139,87",
15.09.2020 16:00:00,"149,92",
16.09.2020 16:00:00,"147,25",
17.09.2020 16:00:00,"141,14",
18.09.2020 16:00:00,"147,38",
21.09.2020 16:00:00,"149,8",
22.09.2020 16:00:00,"141,41",
23.09.2020 16:00:00,"126,79",
24.09.2020 16:00:00,"129,26",
25.09.2020 16:00:00,"135,78",
28.09.2020 16:00:00,"140,4",
29.09.2020 16:00:00,"139,69",
30.09.2020 16:00:00,143
