Date,Close
01.07.2020 16:00:00,"297,73",
02.07.2020 16:00:00,"298,26",
06.07.2020 16:00:00,"302,81",
07.07.2020 16:00:00,"296,65",
08.07.2020 16:00:00,"298,36",
09.07.2020 16:00:00,"291,16",
10.07.2020 16:00:00,"291,23",
13.07.2020 16:00:00,"299,71",
14.07.2020 16:00:00,"308,52",
15.07.2020 16:00:00,"304,07",
16.07.2020 16:00:00,"307,15",
17.07.2020 16:00:00,"306,53",
20.07.2020 16:00:00,"303,46",
21.07.2020 16:00:00,"305,11",
22.07.2020 16:00:00,"306,71",
23.07.2020 16:00:00,"302,97",
24.07.2020 16:00:00,"300,79",
27.07.2020 16:00:00,"298,6",
28.07.2020 16:00:00,"299,93",
29.07.2020 16:00:00,"306,68",
30.07.2020 16:00:00,"305,23",
31.07.2020 16:00:00,"302,78",
03.08.2020 16:00:00,"303,61",
04.08.2020 16:00:00,"304,5",
05.08.2020 16:00:00,"312,47",
06.08.2020 16:00:00,"314,06",
07.08.2020 16:00:00,"317,03",
10.08.2020 16:00:00,"319,1",
11.08.2020 16:00:00,"315,55",
12.08.2020 16:00:00,"322,27",
13.08.2020 16:00:00,"321,52",
14.08.2020 16:00:00,"323,7",
17.08.2020 16:00:00,"320,51",
18.08.2020 16:00:00,"316,81",
19.08.2020 16:00:00,"315,4",
20.08.2020 16:00:00,"313,33",
21.08.2020 16:00:00,"314,14",
24.08.2020 16:00:00,"308,84",
25.08.2020 16:00:00,"312,22",
26.08.2020 16:00:00,"308,82",
27.08.2020 16:00:00,"311,67",
28.08.2020 16:00:00,"314,37",
31.08.2020 16:00:00,"312,55",
01.09.2020 16:00:00,"312,83",
02.09.2020 16:00:00,"320,24",
03.09.2020 16:00:00,"316,23",
04.09.2020 16:00:00,312
08.09.2020 16:00:00,"307,25",
09.09.2020 16:00:00,"312,02",
10.09.2020 16:00:00,"304,6",
11.09.2020 16:00:00,"301,48",
14.09.2020 16:00:00,"308,57",
15.09.2020 16:00:00,"307,23",
16.09.2020 16:00:00,"306,52",
17.09.2020 16:00:00,"304,98",
18.09.2020 16:00:00,"308,02",
21.09.2020 16:00:00,"299,19",
22.09.2020 16:00:00,"294,26",
23.09.2020 16:00:00,"292,14",
24.09.2020 16:00:00,"292,66",
25.09.2020 16:00:00,"302,5",
28.09.2020 16:00:00,"303,23",
29.09.2020 16:00:00,"304,15",
30.09.2020 16:00:00,"311,77",
01.10.2020 16:00:00,"313,07",
02.10.2020 16:00:00,"311,98",
05.10.2020 16:00:00,"318,15",
06.10.2020 16:00:00,"314,45",
07.10.2020 16:00:00,"323,17",
08.10.2020 16:00:00,"322,41",
09.10.2020 16:00:00,"327,84",
12.10.2020 16:00:00,"329,97",
13.10.2020 16:00:00,"331,42",
14.10.2020 16:00:00,"321,85",
15.10.2020 16:00:00,"324,57",
16.10.2020 16:00:00,"329,9",
19.10.2020 16:00:00,"324,22",
20.10.2020 16:00:00,"323,41",
21.10.2020 16:00:00,"322,79",
22.10.2020 16:00:00,"325,73",
23.10.2020 16:00:00,"330,6",
26.10.2020 16:00:00,"323,06",
27.10.2020 16:00:00,"320,51",
28.10.2020 16:00:00,308
29.10.2020 16:00:00,"303,68",
30.10.2020 16:00:00,"305,14",
02.11.2020 16:00:00,"312,1",
03.11.2020 16:00:00,"321,35",
04.11.2020 16:00:00,"354,56",
05.11.2020 16:00:00,"354,4",
06.11.2020 16:00:00,"347,46",
09.11.2020 16:00:00,350
10.11.2020 16:00:00,"353,69",
11.11.2020 16:00:00,"351,7",
12.11.2020 16:00:00,"354,41",
13.11.2020 16:00:00,"355,67",
16.11.2020 16:00:00,"356,82",
17.11.2020 16:00:00,"352,1",
18.11.2020 16:00:00,"344,51",
19.11.2020 16:00:00,337
20.11.2020 16:00:00,"334,7",
23.11.2020 16:00:00,"335,06",
24.11.2020 16:00:00,"336,01",
25.11.2020 16:00:00,"333,19",
27.11.2020 13:00:00,"337,94",
30.11.2020 16:00:00,"336,34",
01.12.2020 16:00:00,"341,19",
02.12.2020 16:00:00,"347,56",
03.12.2020 16:00:00,"348,68",
04.12.2020 16:00:00,"349,89",
07.12.2020 16:00:00,"347,86",
08.12.2020 16:00:00,"347,86",
09.12.2020 16:00:00,"344,41",
10.12.2020 16:00:00,"339,65",
11.12.2020 16:00:00,"337,07",
14.12.2020 16:00:00,"336,13",
15.12.2020 16:00:00,"339,67",
16.12.2020 16:00:00,"339,34",
17.12.2020 16:00:00,"341,67",
18.12.2020 16:00:00,"338,38",
21.12.2020 16:00:00,"336,08",
22.12.2020 16:00:00,"335,01",
23.12.2020 16:00:00,"337,59",
24.12.2020 13:00:00,"340,79",
28.12.2020 16:00:00,"345,95",
29.12.2020 16:00:00,"347,35",
30.12.2020 16:00:00,"344,99",
31.12.2020 16:00:00,"350,68",
04.01.2021 16:00:00,"349,5",
05.01.2021 16:00:00,"344,8",
06.01.2021 16:00:00,"359,27",
07.01.2021 16:00:00,"365,03",
08.01.2021 16:00:00,"363,39",
11.01.2021 16:00:00,"360,75",
12.01.2021 16:00:00,"357,37",
13.01.2021 16:00:00,"355,04",
14.01.2021 16:00:00,"350,53",
15.01.2021 16:00:00,"351,3",
19.01.2021 16:00:00,"352,19",
20.01.2021 16:00:00,"350,84",
21.01.2021 16:00:00,355
22.01.2021 16:00:00,"347,55",
25.01.2021 16:00:00,"347,81",
26.01.2021 16:00:00,"343,11",
27.01.2021 16:00:00,"332,99",
28.01.2021 16:00:00,"338,15",
29.01.2021 16:00:00,"333,58",
01.02.2021 16:00:00,334
02.02.2021 16:00:00,"338,72",
03.02.2021 16:00:00,"337,89",
04.02.2021 16:00:00,"329,32",
05.02.2021 16:00:00,"324,51",
08.02.2021 16:00:00,"324,34",
09.02.2021 16:00:00,"329,63",
10.02.2021 16:00:00,"333,4",
11.02.2021 16:00:00,"333,07",
12.02.2021 16:00:00,"328,24",
16.02.2021 16:00:00,"324,62",
17.02.2021 16:00:00,"326,86",
18.02.2021 16:00:00,"328,41",
19.02.2021 16:00:00,"324,58",
22.02.2021 16:00:00,"327,64",
23.02.2021 16:00:00,"329,51",
24.02.2021 16:00:00,"332,21",
25.02.2021 16:00:00,"328,87",
26.02.2021 16:00:00,"332,22",
01.03.2021 16:00:00,"334,65",
02.03.2021 16:00:00,"334,64",
03.03.2021 16:00:00,"332,87",
04.03.2021 16:00:00,"333,81",
05.03.2021 16:00:00,"347,1",
08.03.2021 16:00:00,"350,17",
09.03.2021 16:00:00,"351,98",
10.03.2021 16:00:00,"349,6",
11.03.2021 16:00:00,"353,1",
12.03.2021 16:00:00,"356,02",
15.03.2021 16:00:00,"353,88",
16.03.2021 16:00:00,"354,6",
17.03.2021 16:00:00,"352,18",
18.03.2021 16:00:00,"362,05",
19.03.2021 16:00:00,"365,58",
22.03.2021 16:00:00,"366,86",
23.03.2021 16:00:00,"368,5",
24.03.2021 16:00:00,"370,6",
25.03.2021 16:00:00,"371,09",
26.03.2021 16:00:00,"376,48",
29.03.2021 16:00:00,"379,06",
30.03.2021 16:00:00,"373,56",
31.03.2021 16:00:00,"372,07",
01.04.2021 16:00:00,"367,07",
05.04.2021 16:00:00,"370,18",
06.04.2021 16:00:00,"364,37",
07.04.2021 16:00:00,"365,64",
08.04.2021 16:00:00,"364,89",
09.04.2021 16:00:00,"376,3",
12.04.2021 16:00:00,"376,28",
13.04.2021 16:00:00,"374,5",
14.04.2021 16:00:00,"375,63",
15.04.2021 16:00:00,"390,01",
16.04.2021 16:00:00,"391,01",
19.04.2021 16:00:00,"389,84",
20.04.2021 16:00:00,"396,53",
21.04.2021 16:00:00,"398,81",
22.04.2021 16:00:00,"396,54",
23.04.2021 16:00:00,"400,31",
26.04.2021 16:00:00,"395,86",
27.04.2021 16:00:00,"394,5",
28.04.2021 16:00:00,"394,59",
29.04.2021 16:00:00,"401,55",
30.04.2021 16:00:00,"398,8",
03.05.2021 16:00:00,"405,9",
04.05.2021 16:00:00,"411,34",
05.05.2021 16:00:00,"412,5",
06.05.2021 16:00:00,"414,97",
07.05.2021 16:00:00,"417,65",
10.05.2021 16:00:00,"420,89",
11.05.2021 16:00:00,"411,7",
12.05.2021 16:00:00,"405,37",
13.05.2021 16:00:00,"408,56",
14.05.2021 16:00:00,"409,8",
17.05.2021 16:00:00,"408,63",
18.05.2021 16:00:00,"410,38",
19.05.2021 16:00:00,"409,5",
20.05.2021 16:00:00,"408,64",
21.05.2021 16:00:00,"411,63",
24.05.2021 16:00:00,"410,95",
25.05.2021 16:00:00,"413,05",
26.05.2021 16:00:00,"413,21",
27.05.2021 16:00:00,"412,7",
28.05.2021 16:00:00,"411,92",
01.06.2021 16:00:00,"406,72",
02.06.2021 16:00:00,"405,85",
03.06.2021 16:00:00,"407,96",
04.06.2021 16:00:00,"405,64",
07.06.2021 16:00:00,"400,25",
08.06.2021 16:00:00,"401,74",
09.06.2021 16:00:00,"401,1",
10.06.2021 16:00:00,"401,49",
11.06.2021 16:00:00,"397,89",
14.06.2021 16:00:00,"399,16",
15.06.2021 16:00:00,"400,28",
16.06.2021 16:00:00,"397,25",
17.06.2021 16:00:00,"397,35",
18.06.2021 16:00:00,"389,37",
21.06.2021 16:00:00,"398,07",
22.06.2021 16:00:00,"398,69",
23.06.2021 16:00:00,"395,56",
24.06.2021 16:00:00,"398,87",
25.06.2021 16:00:00,"404,95",
28.06.2021 16:00:00,"401,46",
29.06.2021 16:00:00,"398,1",
30.06.2021 16:00:00,"400,44",
01.07.2021 16:00:00,"404,89",
02.07.2021 16:00:00,"409,36",
06.07.2021 16:00:00,"410,26",
07.07.2021 16:00:00,"411,66",
08.07.2021 16:00:00,"409,95",
09.07.2021 16:00:00,"412,11",
12.07.2021 16:00:00,"416,04",
13.07.2021 16:00:00,"418,54",
14.07.2021 16:00:00,"414,74",
15.07.2021 16:00:00,"420,05",
16.07.2021 16:00:00,"419,7",
19.07.2021 16:00:00,"409,06",
20.07.2021 16:00:00,"412,97",
21.07.2021 16:00:00,"414,64",
22.07.2021 16:00:00,"415,77",
23.07.2021 16:00:00,"417,7",
26.07.2021 16:00:00,"413,54",
27.07.2021 16:00:00,"415,1",
28.07.2021 16:00:00,"409,17",
29.07.2021 16:00:00,"412,08",
30.07.2021 16:00:00,"412,22",
02.08.2021 16:00:00,"415,57",
03.08.2021 16:00:00,"421,9",
04.08.2021 16:00:00,"421,54",
05.08.2021 16:00:00,"411,19",
06.08.2021 16:00:00,"415,12",
09.08.2021 16:00:00,"410,87",
10.08.2021 16:00:00,"411,78",
11.08.2021 16:00:00,"407,74",
12.08.2021 16:00:00,"405,96",
13.08.2021 16:00:00,"409,67",
16.08.2021 16:00:00,"417,21",
17.08.2021 16:00:00,"421,78",
18.08.2021 16:00:00,"417,32",
19.08.2021 16:00:00,"427,89",
20.08.2021 16:00:00,"429,71",
23.08.2021 16:00:00,"425,36",
24.08.2021 16:00:00,"423,41",
25.08.2021 16:00:00,"419,74",
26.08.2021 16:00:00,"416,85",
27.08.2021 16:00:00,"418,76",
30.08.2021 16:00:00,"418,3",
31.08.2021 16:00:00,"416,27",
01.09.2021 16:00:00,"417,35",
02.09.2021 16:00:00,"423,71",
03.09.2021 16:00:00,"422,86",
07.09.2021 16:00:00,"421,24",
08.09.2021 16:00:00,"415,39",
09.09.2021 16:00:00,"414,55",
10.09.2021 16:00:00,"403,91",
13.09.2021 16:00:00,"414,52",
14.09.2021 16:00:00,"412,54",
15.09.2021 16:00:00,"417,52",
16.09.2021 16:00:00,"416,84",
17.09.2021 16:00:00,"420,16",
20.09.2021 16:00:00,"412,7",
21.09.2021 16:00:00,"412,34",
22.09.2021 16:00:00,"408,7",
23.09.2021 16:00:00,"408,03",
24.09.2021 16:00:00,"407,08",
27.09.2021 16:00:00,"405,27",
28.09.2021 16:00:00,"398,62",
29.09.2021 16:00:00,"400,41",
30.09.2021 16:00:00,"390,74",
01.10.2021 16:00:00,"392,43",
04.10.2021 16:00:00,"387,01",
05.10.2021 16:00:00,"393,43",
06.10.2021 16:00:00,"394,25",
07.10.2021 16:00:00,"404,7",
08.10.2021 16:00:00,"408,46",
11.10.2021 16:00:00,"404,99",
12.10.2021 16:00:00,"403,24",
13.10.2021 16:00:00,"403,55",
14.10.2021 16:00:00,"420,36",
15.10.2021 16:00:00,"428,07",
