Date,Close
01.07.2020 16:00:00,"193,78",
02.07.2020 16:00:00,"195,67",
06.07.2020 16:00:00,"197,76",
07.07.2020 16:00:00,"194,2",
08.07.2020 16:00:00,"195,07",
09.07.2020 16:00:00,"192,21",
10.07.2020 16:00:00,"192,55",
13.07.2020 16:00:00,"189,02",
14.07.2020 16:00:00,"193,33",
15.07.2020 16:00:00,"196,55",
16.07.2020 16:00:00,"193,5",
17.07.2020 16:00:00,"195,09",
20.07.2020 16:00:00,"198,47",
21.07.2020 16:00:00,"196,48",
22.07.2020 16:00:00,"198,86",
23.07.2020 16:00:00,"197,43",
24.07.2020 16:00:00,"195,15",
27.07.2020 16:00:00,"196,91",
28.07.2020 16:00:00,"196,74",
29.07.2020 16:00:00,"198,58",
30.07.2020 16:00:00,"194,06",
31.07.2020 16:00:00,"190,4",
03.08.2020 16:00:00,"190,69",
04.08.2020 16:00:00,"192,29",
05.08.2020 16:00:00,"196,1",
06.08.2020 16:00:00,"198,77",
07.08.2020 16:00:00,"196,36",
10.08.2020 16:00:00,"196,79",
11.08.2020 16:00:00,"197,77",
12.08.2020 16:00:00,"198,74",
13.08.2020 16:00:00,"197,58",
14.08.2020 16:00:00,"196,64",
17.08.2020 16:00:00,"199,43",
18.08.2020 16:00:00,"199,01",
19.08.2020 16:00:00,"200,99",
20.08.2020 16:00:00,"204,15",
21.08.2020 16:00:00,"204,13",
24.08.2020 16:00:00,"206,41",
25.08.2020 16:00:00,"208,1",
26.08.2020 16:00:00,"210,26",
27.08.2020 16:00:00,"211,03",
28.08.2020 16:00:00,"215,71",
31.08.2020 16:00:00,"211,99",
01.09.2020 16:00:00,"213,35",
02.09.2020 16:00:00,"216,48",
03.09.2020 16:00:00,"208,96",
04.09.2020 16:00:00,"204,66",
08.09.2020 16:00:00,"200,12",
09.09.2020 16:00:00,"204,06",
10.09.2020 16:00:00,"201,54",
11.09.2020 16:00:00,"200,68",
14.09.2020 16:00:00,"204,98",
15.09.2020 16:00:00,"205,39",
16.09.2020 16:00:00,"205,13",
17.09.2020 16:00:00,"205,27",
18.09.2020 16:00:00,"202,61",
21.09.2020 16:00:00,"197,45",
22.09.2020 16:00:00,"200,56",
23.09.2020 16:00:00,"195,37",
24.09.2020 16:00:00,"195,52",
25.09.2020 16:00:00,"197,25",
28.09.2020 16:00:00,"200,32",
29.09.2020 16:00:00,"199,44",
30.09.2020 16:00:00,"199,97",
01.10.2020 16:00:00,"203,35",
02.10.2020 16:00:00,"201,46",
05.10.2020 16:00:00,"203,54",
06.10.2020 16:00:00,"200,45",
07.10.2020 16:00:00,"202,47",
08.10.2020 16:00:00,"202,98",
09.10.2020 16:00:00,"206,64",
12.10.2020 16:00:00,"206,4",
13.10.2020 16:00:00,"204,32",
14.10.2020 16:00:00,"202,2",
15.10.2020 16:00:00,"199,55",
16.10.2020 16:00:00,"200,26",
19.10.2020 16:00:00,"196,97",
20.10.2020 16:00:00,"197,7",
21.10.2020 16:00:00,"198,43",
22.10.2020 16:00:00,"197,99",
23.10.2020 16:00:00,"198,01",
26.10.2020 16:00:00,"193,07",
27.10.2020 16:00:00,"190,06",
28.10.2020 16:00:00,"180,87",
29.10.2020 16:00:00,"184,87",
30.10.2020 16:00:00,"181,71",
02.11.2020 16:00:00,"184,74",
03.11.2020 16:00:00,"188,34",
04.11.2020 16:00:00,"193,97",
05.11.2020 16:00:00,"197,64",
06.11.2020 16:00:00,"198,47",
09.11.2020 16:00:00,"212,68",
10.11.2020 16:00:00,"213,31",
11.11.2020 16:00:00,"212,7",
12.11.2020 16:00:00,"208,26",
13.11.2020 16:00:00,"210,48",
16.11.2020 16:00:00,"212,7",
17.11.2020 16:00:00,"210,71",
18.11.2020 16:00:00,"207,83",
19.11.2020 16:00:00,"207,57",
20.11.2020 16:00:00,"203,88",
23.11.2020 16:00:00,"208,16",
24.11.2020 16:00:00,"209,68",
25.11.2020 16:00:00,"210,89",
27.11.2020 13:00:00,211
30.11.2020 16:00:00,"210,35",
01.12.2020 16:00:00,"211,2",
02.12.2020 16:00:00,"210,18",
03.12.2020 16:00:00,"208,05",
04.12.2020 16:00:00,"212,68",
07.12.2020 16:00:00,"212,65",
08.12.2020 16:00:00,"212,77",
09.12.2020 16:00:00,"209,58",
10.12.2020 16:00:00,"207,61",
11.12.2020 16:00:00,"206,24",
14.12.2020 16:00:00,"207,25",
15.12.2020 16:00:00,"208,36",
16.12.2020 16:00:00,"208,27",
17.12.2020 16:00:00,"211,18",
18.12.2020 16:00:00,"211,31",
21.12.2020 16:00:00,"209,01",
22.12.2020 16:00:00,"205,84",
23.12.2020 16:00:00,"205,3",
24.12.2020 13:00:00,"208,7",
28.12.2020 16:00:00,"212,63",
29.12.2020 16:00:00,"214,37",
30.12.2020 16:00:00,"218,36",
31.12.2020 16:00:00,"218,73",
04.01.2021 16:00:00,"217,76",
05.01.2021 16:00:00,"214,51",
06.01.2021 16:00:00,"212,62",
07.01.2021 16:00:00,"213,81",
08.01.2021 16:00:00,"215,45",
11.01.2021 16:00:00,"212,89",
12.01.2021 16:00:00,"208,86",
13.01.2021 16:00:00,"209,35",
14.01.2021 16:00:00,"201,86",
15.01.2021 16:00:00,"201,59",
19.01.2021 16:00:00,"201,66",
20.01.2021 16:00:00,"206,01",
21.01.2021 16:00:00,"205,14",
22.01.2021 16:00:00,"202,02",
25.01.2021 16:00:00,"200,98",
26.01.2021 16:00:00,"202,01",
27.01.2021 16:00:00,"194,97",
28.01.2021 16:00:00,"198,22",
29.01.2021 16:00:00,"193,25",
01.02.2021 16:00:00,"198,36",
02.02.2021 16:00:00,"202,61",
03.02.2021 16:00:00,"201,36",
04.02.2021 16:00:00,"209,25",
05.02.2021 16:00:00,"208,77",
08.02.2021 16:00:00,"206,89",
09.02.2021 16:00:00,"206,52",
10.02.2021 16:00:00,"206,44",
11.02.2021 16:00:00,"210,66",
12.02.2021 16:00:00,"209,96",
16.02.2021 16:00:00,"207,9",
17.02.2021 16:00:00,"207,51",
18.02.2021 16:00:00,"209,35",
19.02.2021 16:00:00,"204,73",
22.02.2021 16:00:00,"208,32",
23.02.2021 16:00:00,"212,11",
24.02.2021 16:00:00,"219,43",
25.02.2021 16:00:00,"213,75",
26.02.2021 16:00:00,"212,39",
01.03.2021 16:00:00,"216,63",
02.03.2021 16:00:00,"215,77",
03.03.2021 16:00:00,"214,85",
04.03.2021 16:00:00,"211,5",
05.03.2021 16:00:00,"215,41",
08.03.2021 16:00:00,"220,27",
09.03.2021 16:00:00,"220,36",
10.03.2021 16:00:00,"223,17",
11.03.2021 16:00:00,"226,15",
12.03.2021 16:00:00,"224,36",
15.03.2021 16:00:00,"223,27",
16.03.2021 16:00:00,"224,7",
17.03.2021 16:00:00,"223,02",
18.03.2021 16:00:00,"220,66",
19.03.2021 16:00:00,"206,9",
22.03.2021 16:00:00,208
23.03.2021 16:00:00,"208,15",
