Date,Close
01.07.2020 16:00:00,"39,9",
02.07.2020 16:00:00,"39,74",
06.07.2020 16:00:00,"39,63",
07.07.2020 16:00:00,"42,32",
08.07.2020 16:00:00,"41,48",
09.07.2020 16:00:00,"42,58",
10.07.2020 16:00:00,"43,56",
13.07.2020 16:00:00,"43,17",
14.07.2020 16:00:00,44
15.07.2020 16:00:00,44
16.07.2020 16:00:00,"44,07",
17.07.2020 16:00:00,"43,91",
20.07.2020 16:00:00,"43,82",
21.07.2020 16:00:00,"44,11",
22.07.2020 16:00:00,"44,22",
23.07.2020 16:00:00,"43,88",
24.07.2020 16:00:00,"43,75",
27.07.2020 16:00:00,"43,74",
28.07.2020 16:00:00,"43,92",
29.07.2020 16:00:00,"43,56",
30.07.2020 16:00:00,"43,37",
31.07.2020 16:00:00,"43,13",
03.08.2020 16:00:00,"43,1",
04.08.2020 16:00:00,"43,88",
05.08.2020 16:00:00,"43,27",
06.08.2020 16:00:00,"43,12",
07.08.2020 16:00:00,"43,32",
10.08.2020 16:00:00,"43,96",
11.08.2020 16:00:00,"43,4",
12.08.2020 16:00:00,"43,96",
13.08.2020 16:00:00,"43,95",
14.08.2020 16:00:00,"44,2",
17.08.2020 16:00:00,"45,2",
18.08.2020 16:00:00,"44,9",
19.08.2020 16:00:00,"44,14",
20.08.2020 16:00:00,"43,52",
21.08.2020 16:00:00,"43,88",
24.08.2020 16:00:00,"43,78",
25.08.2020 16:00:00,"43,54",
26.08.2020 16:00:00,"43,57",
27.08.2020 16:00:00,"45,54",
28.08.2020 16:00:00,"46,77",
31.08.2020 16:00:00,"46,28",
01.09.2020 16:00:00,"49,2",
02.09.2020 16:00:00,"49,23",
03.09.2020 16:00:00,"48,18",
04.09.2020 16:00:00,"47,61",
08.09.2020 16:00:00,"46,15",
09.09.2020 16:00:00,"46,63",
10.09.2020 16:00:00,"45,6",
11.09.2020 16:00:00,"45,57",
14.09.2020 16:00:00,"45,77",
15.09.2020 16:00:00,"45,79",
16.09.2020 16:00:00,"45,42",
17.09.2020 16:00:00,"45,56",
18.09.2020 16:00:00,"45,1",
21.09.2020 16:00:00,"45,69",
22.09.2020 16:00:00,"46,1",
23.09.2020 16:00:00,"45,33",
24.09.2020 16:00:00,"45,57",
25.09.2020 16:00:00,"45,76",
